Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
2S,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
2S,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
2S,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,KUNCHIT SINGSUWAN,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,SURAPON SATIMANONT,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMBAT LEESWADTRAKUL,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,SANGRUNG NITIPAWACHON,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHINTANA TECHAMONTRIKUL,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,BUNSRI PANYAPIAMSAK,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,TANATAT CHAWALDIT,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,PREEDA WONGSATITPORN,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,PHAIRAT PHOUBON,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,10.,WORAVIT CHAILIMPAMONTRI,N/A,5 / 5,100.00,Yes,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,SURAPON SATIMANONT,N/A,4 / 4,100.00,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,CHINTANA TECHAMONTRIKUL,N/A,4 / 4,100.00,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,KUNCHIT SINGSUWAN,N/A,4 / 4,100.00,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,1.,PHAIRAT PHOUBON,N/A,0 / 0,N/A,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,2.,CHINTANA TECHAMONTRIKUL,N/A,0 / 0,N/A,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,3.,WORAVIT CHAILIMPAMONTRI,N/A,0 / 0,N/A,,
2S,2022,5,4,21/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,4.,SOMBAT LEESWADTRAKUL,N/A,0 / 0,N/A,,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,1.,KUNCHIT SINGSUWAN,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,2.,SURAPON SATIMANONT,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,3.,SOMBAT LEESWADTRAKUL,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,4.,SANGRUNG NITIPAWACHON,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,5.,CHINTANA TECHAMONTRIKUL,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,6.,BUNSRI PANYAPIAMSAK,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,7.,TANATAT CHAWALDIT,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,8.,PREEDA WONGSATITPORN,N/A,4 / 4,100.00,Yes,
2S,2023,4,4,19/04/2023,No,Meeting Attendance of the Board of Directors,9.,PHAIRAT PHOUBON,N/A,4 / 4,100.00,Yes,
