Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
A5,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
A5,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
A5,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,MANOP BONGSADADT,N/A,6 / 6,100.00,Yes,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,SUPACHOKE PANCHASARP,N/A,7 / 7,100.00,Yes,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,WALLOP SRIPAISAL,N/A,7 / 7,100.00,Yes,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,PURIPUT CHUMTHAM,N/A,7 / 7,100.00,Yes,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,SANSANEE POOLSAWAT,N/A,7 / 7,100.00,Yes,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHOTIKORN PANCHASARP,N/A,4 / 4,100.00,No,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,KRIANGKRAI SIRAVANICHKAN,10/03/2022,1 / 1,100.00,No,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,YONGKIAT SIRIVAJANANGKUN,11/05/2022,3 / 3,100.00,Yes,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of Audit Committee,1.,WALLOP SRIPAISAL,N/A,6 / 6,100.00,,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of Audit Committee,2.,PURIPUT CHUMTHAM,N/A,6 / 6,100.00,,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of Audit Committee,3.,SANSANEE POOLSAWAT,N/A,6 / 6,100.00,,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of Executive Committee,1.,SUPACHOKE PANCHASARP,N/A,N/A,N/A,,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of Executive Committee,2.,CHOTIKORN PANCHASARP,N/A,N/A,N/A,,
A5,2022,7,6,28/04/2023,No,Meeting Attendance of Executive Committee,3.,YONGKIAT SIRIVAJANANGKUN,11/05/2022,N/A,N/A,,
A5,2023,5,10,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,MANOP BONGSADADT,N/A,5 / 5,100.00,Yes,
A5,2023,5,10,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,WALLOP SRIPAISAL,N/A,5 / 5,100.00,Yes,
A5,2023,5,10,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,SUPACHOKE PANCHASARP,N/A,5 / 5,100.00,Yes,
A5,2023,5,10,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,PURIPUT CHUMTHAM,N/A,5 / 5,100.00,Yes,
