Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ABM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ABM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ABM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,APISIT RUJIKEATKAMJORN,N/A,5 / 5,100.00,Yes,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,NATPAPHA KUANSATAPORN,N/A,5 / 5,100.00,Yes,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,TIYADA Mekpongsatorn,N/A,5 / 5,100.00,Yes,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,WICHAI PORNKERATIWAT,N/A,5 / 5,100.00,Yes,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,SARIT CHOKCHAINIRAND,N/A,5 / 5,100.00,Yes,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PANOM KUANSATAPORN,N/A,5 / 5,100.00,Yes,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,PINMANEE MEKMONTANA,N/A,4 / 5,80.00,No,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,PATRAWAN MANUTSATHIT,11/05/2022,2 / 5,40.00,Yes,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Audit Committee,1.,SARIT CHOKCHAINIRAND,N/A,5 / 5,100.00,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Audit Committee,2.,WICHAI PORNKERATIWAT,N/A,5 / 5,100.00,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Audit Committee,3.,PINMANEE MEKMONTANA,N/A,3 / 5,60.00,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Audit Committee,4.,PATRAWAN MANUTSATHIT,11/05/2022,2 / 5,40.00,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Executive Committee,1.,TIYADA Mekpongsatorn,N/A,N/A,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Executive Committee,2.,NATPAPHA KUANSATAPORN,N/A,N/A,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Executive Committee,3.,PANOM KUANSATAPORN,N/A,N/A,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Executive Committee,4.,Pongtham Danwungderm,N/A,N/A,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,WICHAI PORNKERATIWAT,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,PANOM KUANSATAPORN,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,TIYADA Mekpongsatorn,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,TIYADA Mekpongsatorn,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,Pongtham Danwungderm,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,NATPAPHA KUANSATAPORN,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Risk Management Committee,4.,Apiratee Sakulin,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Risk Management Committee,5.,Prutthipol Soisuwan,N/A,0 / 0,N/A,,
ABM,2022,5,5,27/04/2022,Yes,Meeting Attendance of Risk Management Committee,6.,Chairat Dechpaiboonyot,N/A,0 / 0,N/A,,
ABM,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,VICHAI TANPATANARAT,N/A,3 / 4,75.00,No,
ABM,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,NATPAPHA KUANSATAPORN,N/A,4 / 4,100.00,Yes,
