Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ACAP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ACAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ACAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,YIEM CHUNDPRASIT,N/A,8 / 8,100.00,Yes,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,WISES NUITOOM,N/A,7 / 8,87.50,Yes,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,BUNCHONG PHURIRAKPITIKORN,N/A,8 / 8,100.00,Yes,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PHAITOON AROONPUNT,N/A,8 / 8,100.00,Yes,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,BOONRAT WINYUKANON,N/A,8 / 8,100.00,No,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,SIRACHAI KITTAYANUKUL,N/A,4 / 4,100.00,No,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,PATCHARAPOL CHANNAKUP,N/A,1 / 1,100.00,No,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,NATAPORN INGKANINUN,24/05/2022,3 / 3,100.00,Yes,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,ANUCHAI VITNALAKORN,11/11/2022,6 / 6,100.00,Yes,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,AITTIPAT SANGSAWATDEKUL,24/05/2022,N/A,N/A,N/A,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of Audit Committee,1.,BUNCHONG PHURIRAKPITIKORN,N/A,6 / 6,100.00,,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of Audit Committee,2.,WISES NUITOOM,N/A,6 / 6,100.00,,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of Audit Committee,3.,AITTIPAT SANGSAWATDEKUL,N/A,4 / 4,100.00,,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of Audit Committee,4.,NATAPORN INGKANINUN,24/05/2022,2 / 2,100.00,,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of Executive Committee,1.,YIEM CHUNDPRASIT,N/A,N/A,N/A,,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of Executive Committee,2.,BOONRAT WINYUKANON,N/A,N/A,N/A,,
ACAP,2022,8,6,28/04/2022,Yes,Meeting Attendance of Executive Committee,3.,PATCHARAPOL CHANNAKUP,N/A,N/A,N/A,,
