Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ACC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ACC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ACC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,SOMCHAI YOUNGPITUCK,N/A,20 / 20,100.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,SUPIN SIRIPOKE,N/A,19 / 19,100.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,SAOVAPAK SAKULROMVILAS,N/A,20 / 20,100.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,ARICHAI RACTHAM,N/A,20 / 20,100.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,THANAKIT ACHARIYASOMBAT,N/A,18 / 20,90.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,ANGOON PHIMPHKORN,N/A,16 / 20,80.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,THANADECH MAHAPOKAI,N/A,16 / 20,80.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,CHEN ZHONG,N/A,17 / 20,85.00,Yes,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,THANAPHON DECHAWITTHAYATHON,24/01/2022,0 / 0,N/A,No,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,KAMPOL TATIYAKAVEE,20/01/2022,0 / 0,N/A,No,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of Audit Committee,1.,ARICHAI RACTHAM,N/A,7 / 7,100.00,,
ACC,2022,20,N/A,25/04/2023,Yes,Meeting Attendance of Audit Committee,2.,SOMCHAI YOUNGPITUCK,N/A,7 / 7,100.00,,
