Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ACE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ACE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ACE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,MONTON SUDPRASERT,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,Charoon  Intachan,N/A,5 / 8,62.50,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHONTICHA CHITRARPORN,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,Nuekrak Baingern,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,PATCHANEE SUTHEEVITANUNT,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,JIRATHA SONGMETTA,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,TEERAWUT SONGMETTA,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,PORNMETT SONGMETTA,N/A,7 / 8,87.50,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,TANAVIJIT ANKAPIPATCHAI,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,TANACHAI BUNDITVORAPOOM,N/A,8 / 8,100.00,Yes,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,1.,CHONTICHA CHITRARPORN,N/A,3 / 3,100.00,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,2.,Nuekrak Baingern,N/A,3 / 3,100.00,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,3.,PATCHANEE SUTHEEVITANUNT,N/A,3 / 3,100.00,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,1.,JIRATHA SONGMETTA,N/A,N/A,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,2.,TEERAWUT SONGMETTA,N/A,N/A,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,3.,PORNMETT SONGMETTA,N/A,N/A,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,4.,TANAVIJIT ANKAPIPATCHAI,N/A,N/A,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,5.,TANACHAI BUNDITVORAPOOM,N/A,N/A,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,6.,Adul  Narongsak,N/A,N/A,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PATCHANEE SUTHEEVITANUNT,N/A,0 / 0,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Nuekrak Baingern,N/A,0 / 0,N/A,,
ACE,2022,8,N/A,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JIRATHA SONGMETTA,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,MONTON SUDPRASERT,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,JIRATHA SONGMETTA,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,TANAVIJIT ANKAPIPATCHAI,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,TEERAWUT SONGMETTA,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,PORNMETT SONGMETTA,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHONTICHA CHITRARPORN,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,PATCHANEE SUTHEEVITANUNT,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,NUEKRUK BAINGERN,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHAROON INTACHAN,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of the Board of Directors,10.,TANACHAI BUNDITVORAPOOM,N/A,8 / 8,100.00,Yes,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Audit Committee,1.,CHONTICHA CHITRARPORN,N/A,7 / 7,100.00,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Audit Committee,2.,PATCHANEE SUTHEEVITANUNT,N/A,7 / 7,100.00,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Audit Committee,3.,NUEKRUK BAINGERN,N/A,7 / 7,100.00,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Executive Committee,1.,JIRATHA SONGMETTA,N/A,N/A,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Executive Committee,2.,TEERAWUT SONGMETTA,N/A,N/A,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Executive Committee,3.,PORNMETT SONGMETTA,N/A,N/A,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Executive Committee,4.,TANAVIJIT ANKAPIPATCHAI,N/A,N/A,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Executive Committee,5.,TANACHAI BUNDITVORAPOOM,N/A,N/A,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Executive Committee,6.,Adul  Narongsak,N/A,N/A,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PATCHANEE SUTHEEVITANUNT,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Nuekrak Baingern,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JIRATHA SONGMETTA,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,1.,JIRATHA SONGMETTA,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,2.,TANACHAI BUNDITVORAPOOM,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,3.,TEERAWUT SONGMETTA,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,4.,PORNMETT SONGMETTA,N/A,0 / 0,N/A,,
ACE,2023,8,7,28/04/2023,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,5.,Adul  Narongsak,N/A,0 / 0,N/A,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,1.,MONTON SUDPRASERT,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,2.,JIRATHA SONGMETTA,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,3.,TANAVIJIT ANKAPIPATCHAI,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,4.,TEERAWUT SONGMETTA,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,5.,PORNMETT SONGMETTA,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,6.,CHONTICHA CHITRARPORN,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,7.,PATCHANEE SUTHEEVITANUNT,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,8.,NUEKRUK BAINGERN,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,9.,TANACHAI BUNDITVORAPOOM,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of the Board of Directors,10.,CHAROON INTACHAN,N/A,7 / 7,100.00,1 / 1,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Audit Committee,1.,CHONTICHA CHITRARPORN,N/A,6 / 6,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Audit Committee,2.,PATCHANEE SUTHEEVITANUNT,N/A,6 / 6,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Audit Committee,3.,NUEKRUK BAINGERN,N/A,6 / 6,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Executive Committee,1.,JIRATHA SONGMETTA,N/A,9 / 9,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Executive Committee,2.,TEERAWUT SONGMETTA,N/A,9 / 9,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Executive Committee,3.,PORNMETT SONGMETTA,N/A,9 / 9,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Executive Committee,4.,TANAVIJIT ANKAPIPATCHAI,N/A,9 / 9,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Executive Committee,5.,TANACHAI BUNDITVORAPOOM,N/A,9 / 9,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Executive Committee,6.,Adul  Narongsak,N/A,9 / 9,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PATCHANEE SUTHEEVITANUNT,N/A,2 / 2,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Nuekrak Baingern,N/A,2 / 2,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JIRATHA SONGMETTA,N/A,2 / 2,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,1.,JIRATHA SONGMETTA,N/A,1 / 1,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,2.,TANACHAI BUNDITVORAPOOM,N/A,1 / 1,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,3.,TEERAWUT SONGMETTA,N/A,1 / 1,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,4.,PORNMETT SONGMETTA,N/A,1 / 1,100.00,,
ACE,2024,7,6,30/04/2024,No,Meeting Attendance of SUSTAINABILITY DEVELOPMENT AND RISK MANAGEMENT COMMITTEE,5.,Adul  Narongsak,N/A,1 / 1,100.00,,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,MONTON SUDPRASERT,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,Jiratha Dumnernchanvanit,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,Tanavijit  Ankapipatchai,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,TEERAWUT SONGMETTA,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,PORNMETT SONGMETTA,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,Chonticha Chitrarporn,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,Patchanee Sutheevitanunt,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,Nuekrak Baingern,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,Charoon Intachan,N/A,9 / 10,90.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,TANACHAI BUNDITVORAPOOM,N/A,10 / 10,100.00,1 / 1,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,Chonticha Chitrarporn,N/A,11 / 11,100.00,,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,Patchanee Sutheevitanunt,N/A,11 / 11,100.00,,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,Nuekrak Baingern,N/A,11 / 11,100.00,,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,Jiratha Dumnernchanvanit,N/A,10 / 10,100.00,,
ACE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,TEERAWUT SONGMETTA,N/A,10 / 10,100.00,,
