Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ACG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ACG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ACG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,PANICH PONGPIRODOM,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,PHANUMAST RUNGKAKULNUWAT,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,HATHAIRAT RANGKAGOONNUWAT,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,WEERACHAI NGAMDEEVILAISAK,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,WINAI KASEMSRI,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,SARANYAPONG THIANGTAM,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUKSAI PHOKSAP,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,NUCHANADH SAKULSANTHIA,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,THANYA THIMACHAI,N/A,6 / 6,100.00,Yes,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Audit Committee,1.,WEERACHAI NGAMDEEVILAISAK,N/A,6 / 6,100.00,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Audit Committee,2.,WINAI KASEMSRI,N/A,6 / 6,100.00,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Audit Committee,3.,SARANYAPONG THIANGTAM,N/A,6 / 6,100.00,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Executive Committee,1.,PHANUMAST RUNGKAKULNUWAT,N/A,N/A,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Executive Committee,2.,HATHAIRAT RANGKAGOONNUWAT,N/A,N/A,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Executive Committee,3.,SUKSAI PHOKSAP,N/A,N/A,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Executive Committee,4.,NUCHANADH SAKULSANTHIA,N/A,N/A,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Executive Committee,5.,THANYA THIMACHAI,N/A,N/A,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,WINAI KASEMSRI,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SARANYAPONG THIANGTAM,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PHANUMAST RUNGKAKULNUWAT,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SARANYAPONG THIANGTAM,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,HATHAIRAT RANGKAGOONNUWAT,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,NUCHANADH SAKULSANTHIA,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,WEERACHAI NGAMDEEVILAISAK,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,WINAI KASEMSRI,N/A,0 / 0,N/A,,
ACG,2022,6,6,27/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,PHANUMAST RUNGKAKULNUWAT,N/A,0 / 0,N/A,,
