Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ADB,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ADB,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ADB,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,PAWAT WONGTANGTRAKUL,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,RATTANACHAI WONGCHAROENSIN,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,WANG WANAPAISON,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PORNPIWAN NIRAMONCHARDCHAY,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,WEI-KAI WANG,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,VEERACHAI WONGCHAROENSIN,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,MONGKON LAOWORAPONG,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,MONPILAI NARASINGHA,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,WUTTICHAI WONGCHAROENSIN,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,CHUNG JEN YANG,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,KANCHANA PIYASATIT,N/A,7 / 7,100.00,Yes,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Audit Committee,1.,MONGKON LAOWORAPONG,N/A,4 / 4,100.00,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Audit Committee,2.,MONPILAI NARASINGHA,N/A,4 / 4,100.00,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Audit Committee,3.,KANCHANA PIYASATIT,N/A,4 / 4,100.00,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,1.,WANG WANAPAISON,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,2.,PORNPIWAN NIRAMONCHARDCHAY,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,3.,VEERACHAI WONGCHAROENSIN,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,4.,WUTTICHAI WONGCHAROENSIN,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,5.,WEI-KAI WANG,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,6.,Kang Hsu Liu,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,7.,Piriya Moungkram,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,8.,Jirawat Akkaranupornpong,N/A,N/A,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Risk Mamagemeng Committee,1.,MONGKON LAOWORAPONG,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Risk Mamagemeng Committee,2.,WANG WANAPAISON,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Risk Mamagemeng Committee,3.,PORNPIWAN NIRAMONCHARDCHAY,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Risk Mamagemeng Committee,4.,WUTTICHAI WONGCHAROENSIN,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Risk Mamagemeng Committee,5.,MONPILAI NARASINGHA,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Risk Mamagemeng Committee,6.,Piriya Moungkram,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Investment Advisory Board Committee,1.,MONGKON LAOWORAPONG,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Investment Advisory Board Committee,2.,MONPILAI NARASINGHA,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,1.,WANG WANAPAISON,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,2.,PORNPIWAN NIRAMONCHARDCHAY,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,3.,WUTTICHAI WONGCHAROENSIN,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,4.,VEERACHAI WONGCHAROENSIN,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,5.,WEI-KAI WANG,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,6.,Piriya Moungkram,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,7.,Jirawat Akkaranupornpong,N/A,0 / 0,N/A,,
ADB,2022,7,4,20/04/2022,Yes,Meeting Attendance of Executive Committee,8.,Kang Hsu Liu,N/A,0 / 0,N/A,,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,PAWAT WONGTANGTRAKUL,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,RATTANACHAI WONGCHAROENSIN,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,WANG WANAPAISON,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,PORNPIWAN NIRAMONCHARDCHAY,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,WEI-KAI WANG,N/A,7 / 7,100.00,No,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,VEERACHAI WONGCHAROENSIN,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,MONGKON LAOWORAPONG,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,MONPILAI NARASINGHA,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,WUTTICHAI WONGCHAROENSIN,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,10.,CHUNG JEN YANG,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of the Board of Directors,11.,KANCHANA PIYASATIT,N/A,7 / 7,100.00,Yes,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of Audit Committee,1.,MONGKON LAOWORAPONG,N/A,5 / 5,100.00,,
ADB,2023,7,5,20/04/2023,No,Meeting Attendance of Audit Committee,2.,MONPILAI NARASINGHA,N/A,5 / 5,100.00,,
