Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ADVANC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ADVANC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ADVANC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,1.,KAN TRAKULHOON,N/A,12 / 12,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,2.,SARATH RATANAVADI,N/A,12 / 12,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,3.,ALLEN LEW YOONG KEONG,N/A,11 / 12,91.67,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,4.,JEANN LOW NGIAP JONG,N/A,12 / 12,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,5.,KRAIRIT EUCHUKANONCHAI,N/A,9 / 12,75.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,6.,SOMCHAI LERTSUTIWONG,N/A,12 / 12,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,7.,GERARDO C. JR. ABLAZA,N/A,12 / 12,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,8.,SMITH BANOMYONG,N/A,10 / 12,83.33,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,9.,YUPAPIN WANGVIWAT,N/A,12 / 12,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,10.,ARTHUR LANG TAO YIH,N/A,12 / 12,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,11.,PREDEE DAOCHAI,N/A,4 / 4,100.00,No,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of the Board of Directors,12.,SURASAK VAJASIT,01/08/2022,7 / 7,100.00,Yes,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Audit Committee,1.,KRAIRIT EUCHUKANONCHAI,N/A,17 / 17,100.00,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Audit Committee,2.,GERARDO C. JR. ABLAZA,N/A,15 / 17,88.24,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Audit Committee,3.,PREDEE DAOCHAI,N/A,5 / 5,100.00,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Audit Committee,4.,SURASAK VAJASIT,01/08/2022,11 / 11,100.00,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Executive Committee,1.,ALLEN LEW YOONG KEONG,N/A,N/A,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Executive Committee,2.,SARATH RATANAVADI,N/A,N/A,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Executive Committee,3.,SMITH BANOMYONG,N/A,N/A,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Executive Committee,4.,SOMCHAI LERTSUTIWONG,N/A,N/A,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Executive Committee,5.,ARTHUR LANG TAO YIH,N/A,N/A,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Nomination and Compensation Committee,1.,KAN TRAKULHOON,N/A,0 / 0,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Nomination and Compensation Committee,2.,SARATH RATANAVADI,N/A,0 / 0,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Nomination and Compensation Committee,3.,JEANN LOW NGIAP JONG,N/A,0 / 0,N/A,,
ADVANC,2022,12,17,24/03/2022,No,Meeting Attendance of Sustainable Development Committee,1.,KAN TRAKULHOON,N/A,0 / 0,N/A,,
