Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AFC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AFC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AFC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AFC,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AFC,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AFC,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AFC,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AFC,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AFC,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AFC,2024,5,4,07/10/2024,No,Meeting Attendance of the Board of Directors,1.,MONGKOL MANGKORNKANOK,N/A,5 / 5,100.00,N/A,
AFC,2024,5,4,07/10/2024,No,Meeting Attendance of the Board of Directors,2.,VITOON SIRIKIETSOONG,N/A,5 / 5,100.00,N/A,
AFC,2024,5,4,07/10/2024,No,Meeting Attendance of the Board of Directors,3.,JINTANA THANATAVEE,N/A,5 / 5,100.00,N/A,
AFC,2024,5,4,07/10/2024,No,Meeting Attendance of the Board of Directors,4.,CHEN NAMCHAISIRI,N/A,5 / 5,100.00,N/A,
AFC,2024,5,4,07/10/2024,No,Meeting Attendance of the Board of Directors,5.,NIPON LEELASITHORN,N/A,5 / 5,100.00,N/A,
AFC,2024,5,4,07/10/2024,No,Meeting Attendance of the Board of Directors,6.,SOMSAK PUNTANAKASEM,N/A,5 / 5,100.00,N/A,
AFC,2024,5,4,07/10/2024,No,Meeting Attendance of the Board of Directors,7.,PIRA SIRIKIETSOONG,N/A,5 / 5,100.00,N/A,
