Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AF,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AF,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AF,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AF,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AF,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AF,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,SORASIT SOONTORNKES,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,POONSAK THIAPAIRAT,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,LADAVAN TANATANIT,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,VISIT VONGRUAMLARP,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,YAJAI PATTANASUKWASUN,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,KUNAKORN MAKCHAIDEE,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,NALINEE NGAMSETTAMAS,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,AKRAWIT SOOKSAI,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,9.,NAVAPOL DAMRONGPONG,N/A,6 / 6,100.00,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,10.,PORNPILAIB BURASAI,N/A,1 / 6,16.67,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of the Board of Directors,11.,NONGLUK CHANTARASOMBAT,14/11/2023,4 / 6,66.67,Yes,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Audit Committee,1.,YAJAI PATTANASUKWASUN,N/A,6 / 6,100.00,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Audit Committee,2.,POONSAK THIAPAIRAT,N/A,6 / 6,100.00,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Audit Committee,3.,KUNAKORN MAKCHAIDEE,N/A,6 / 6,100.00,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Executive Committee,1.,CHANON CHOTEVIJIT,N/A,N/A,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Executive Committee,2.,NALINEE NGAMSETTAMAS,N/A,N/A,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Executive Committee,3.,LADAVAN TANATANIT,N/A,N/A,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Executive Committee,4.,AKRAWIT SOOKSAI,N/A,N/A,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Executive Committee,5.,Ekawat Piriyawarasakul,N/A,N/A,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Executive Committee,6.,Suthiporn Tanthikul,N/A,N/A,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Audit Committee,1.,YAJAI PATTANASUKWASUN,N/A,0 / 0,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Audit Committee,2.,KUNAKORN MAKCHAIDEE,N/A,0 / 0,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of Audit Committee,3.,POONSAK THIAPAIRAT,N/A,0 / 0,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,YAJAI PATTANASUKWASUN,N/A,0 / 0,N/A,,
AF,2023,6,6,24/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,NALINEE NGAMSETTAMAS,N/A,0 / 0,N/A,,
