Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AIE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AIE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AIE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of the Board of Directors,1.,NARONG THARERATANAVIBOOL,N/A,5 / 5,100.00,Yes,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of the Board of Directors,2.,THANIT THARERATANAVIBOOL,N/A,5 / 5,100.00,Yes,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of the Board of Directors,3.,SAMPAN HUNPAYON,N/A,5 / 5,100.00,Yes,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHOTI SONTIWATTANANONT,N/A,5 / 5,100.00,Yes,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of the Board of Directors,5.,PIMWAN THARERATANAVIBOOL,N/A,5 / 5,100.00,Yes,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of the Board of Directors,6.,DAMRONG JOONGWONG,N/A,5 / 5,100.00,Yes,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Audit Committee,1.,DAMRONG JOONGWONG,N/A,8 / 8,100.00,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Audit Committee,2.,SAMPAN HUNPAYON,N/A,8 / 8,100.00,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Audit Committee,3.,CHOTI SONTIWATTANANONT,N/A,8 / 8,100.00,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Executive Committee,1.,NARONG THARERATANAVIBOOL,N/A,N/A,N/A,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Executive Committee,2.,THANIT THARERATANAVIBOOL,N/A,N/A,N/A,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Executive Committee,3.,PIMWAN THARERATANAVIBOOL,N/A,N/A,N/A,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Risk Management Committee,1.,THANIT THARERATANAVIBOOL,N/A,0 / 0,N/A,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Risk Management Committee,2.,CHOTI SONTIWATTANANONT,N/A,0 / 0,N/A,,
AIE,2022,5,8,05/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PIMWAN THARERATANAVIBOOL,N/A,0 / 0,N/A,,
AIE,2023,5,8,05/04/2023,No,Meeting Attendance of the Board of Directors,1.,NARONG THARERATANAVIBOOL,N/A,5 / 5,100.00,Yes,
