Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of the Board of Directors,1.,NARONG THARERATANAVIBOOL,N/A,5 / 5,100.00,Yes,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of the Board of Directors,2.,THANIT THARERATANAVIBOOL,N/A,5 / 5,100.00,Yes,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of the Board of Directors,3.,KOVIT THARERATANAVIBOOL,N/A,5 / 5,100.00,Yes,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of the Board of Directors,4.,BOONLERT KHAWCHAROENPORN,N/A,5 / 5,100.00,Yes,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of the Board of Directors,5.,WICHEAN POTEPHOSREE,N/A,5 / 5,100.00,Yes,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of the Board of Directors,6.,VEERAPHAT PHETCHARAKUPT,N/A,5 / 5,100.00,Yes,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Audit Committee,1.,WICHEAN POTEPHOSREE,N/A,4 / 4,100.00,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Audit Committee,2.,BOONLERT KHAWCHAROENPORN,N/A,4 / 4,100.00,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Audit Committee,3.,VEERAPHAT PHETCHARAKUPT,05/04/2022,N/A,N/A,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Executive Committee,1.,NARONG THARERATANAVIBOOL,N/A,N/A,N/A,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Executive Committee,2.,THANIT THARERATANAVIBOOL,N/A,N/A,N/A,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Executive Committee,3.,KOVIT THARERATANAVIBOOL,05/04/2022,N/A,N/A,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Risk Mangement,1.,THANIT THARERATANAVIBOOL,N/A,0 / 0,N/A,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Risk Mangement,2.,MATTIKA CHANSUWAN,N/A,0 / 0,N/A,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Risk Mangement,3.,SIRICHAI KARINTARAKUL,N/A,0 / 0,N/A,,
AI,2022,6,4,05/04/2022,No,Meeting Attendance of Risk Mangement,4.,WEERA ONNUM,N/A,0 / 0,N/A,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of the Board of Directors,1.,NARONG THARERATANAVIBOOL,N/A,7 / 7,100.00,Yes,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of the Board of Directors,2.,THANIT THARERATANAVIBOOL,N/A,7 / 7,100.00,Yes,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of the Board of Directors,3.,KOVIT THARERATANAVIBOOL,N/A,6 / 7,85.71,Yes,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of the Board of Directors,4.,BOONLERT KHAWCHAROENPORN,N/A,7 / 7,100.00,Yes,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of the Board of Directors,5.,VEERAPHAT PHETCHARAKUPT,N/A,7 / 7,100.00,Yes,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of the Board of Directors,6.,PASSORN WIANGKET,N/A,1 / 7,14.29,No,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of the Board of Directors,7.,WICHEAN POTEPHOSREE,11/10/2023,5 / 7,71.43,Yes,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Audit Committee,1.,BOONLERT KHAWCHAROENPORN,N/A,4 / 4,100.00,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Audit Committee,2.,VEERAPHAT PHETCHARAKUPT,N/A,4 / 4,100.00,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Audit Committee,3.,PASSORN WIANGKET,N/A,1 / 4,25.00,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Audit Committee,4.,WICHEAN POTEPHOSREE,11/10/2023,3 / 4,75.00,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Executive Committee,1.,NARONG THARERATANAVIBOOL,N/A,N/A,N/A,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Executive Committee,2.,THANIT THARERATANAVIBOOL,N/A,N/A,N/A,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Executive Committee,3.,KOVIT THARERATANAVIBOOL,N/A,N/A,N/A,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Risk Mangement,1.,THANIT THARERATANAVIBOOL,N/A,0 / 0,N/A,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Risk Mangement,2.,MATTIKA CHANSUWAN,N/A,0 / 0,N/A,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Risk Mangement,3.,SIRICHAI KARINTARAKUL,N/A,0 / 0,N/A,,
AI,2023,7,4,05/04/2023,No,Meeting Attendance of Risk Mangement,4.,WEERA ONNUM,N/A,0 / 0,N/A,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,1.,NARONG THARERATANAVIBOOL,N/A,5 / 5,100.00,1 / 1,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,2.,THANIT THARERATANAVIBOOL,N/A,5 / 5,100.00,1 / 1,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,3.,KOVIT THARERATANAVIBOOL,N/A,5 / 5,100.00,1 / 1,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,4.,BOONLERT KHAWCHAROENPORN,N/A,5 / 5,100.00,1 / 1,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,5.,VEERAPHAT PHETCHARAKUPT,N/A,5 / 5,100.00,1 / 1,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,6.,PASSORN WIENGKET,N/A,5 / 5,100.00,1 / 1,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,7.,PIMWAN THARERATANAVIBOOL,N/A,3 / 5,60.00,0 / 0,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of the Board of Directors,8.,PONGSAKON THARERATANAVIBOOL,N/A,3 / 5,60.00,0 / 0,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Audit Committee,1.,BOONLERT KHAWCHAROENPORN,N/A,4 / 4,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Audit Committee,2.,VEERAPHAT PHETCHARAKUPT,N/A,4 / 4,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Audit Committee,3.,PASSORN WIENGKET,N/A,1 / 4,25.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Executive Committee,1.,NARONG THARERATANAVIBOOL,N/A,5 / 5,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Executive Committee,2.,THANIT THARERATANAVIBOOL,N/A,5 / 5,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Executive Committee,3.,KOVIT THARERATANAVIBOOL,N/A,5 / 5,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Executive Committee,4.,PIMWAN THARERATANAVIBOOL,N/A,3 / 5,60.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Executive Committee,5.,PONGSAKON THARERATANAVIBOOL,N/A,3 / 5,60.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Risk Management,1.,THANIT THARERATANAVIBOOL,N/A,12 / 12,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Risk Management,2.,MATTIKA CHANSUWAN,N/A,12 / 12,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Risk Management,3.,SIRICHAI KARINTARAKUL,N/A,12 / 12,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Risk Management,4.,Palin Sittipon,N/A,12 / 12,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Risk Management,5.,Piriyapong Kerdsri,N/A,12 / 12,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Risk Management,6.,Chaloemchon Wongklam,N/A,12 / 12,100.00,,
AI,2024,5,4,04/04/2024,No,Meeting Attendance of Risk Management,7.,Tiyaporn Panbua,N/A,12 / 12,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,NARONG THARERATANAVIBOOL,N/A,4 / 4,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,THANIT THARERATANAVIBOOL,N/A,4 / 4,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,KOVIT THARERATANAVIBOOL,N/A,4 / 4,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,BOONLERT KHAWCHAROENPORN,N/A,4 / 4,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,VEERAPHAT PHETCHARAKUPT,N/A,4 / 4,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,PASSORN WIENGKET,N/A,4 / 4,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,PIMWAN THARERATANAVIBOOL,N/A,4 / 4,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,Atittiya  Thareratanavibool,N/A,0 / 0,N/A,0 / 0,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,PONGSAKON THARERATANAVIBOOL,01/11/2025,3 / 3,100.00,1 / 1,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,BOONLERT KHAWCHAROENPORN,N/A,4 / 4,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,VEERAPHAT PHETCHARAKUPT,N/A,4 / 4,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,PASSORN WIENGKET,N/A,4 / 4,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,NARONG THARERATANAVIBOOL,N/A,4 / 4,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,THANIT THARERATANAVIBOOL,N/A,4 / 4,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,KOVIT THARERATANAVIBOOL,N/A,4 / 4,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,PIMWAN THARERATANAVIBOOL,N/A,4 / 4,100.00,,
AI,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,Atittiya  Thareratanavibool,N/A,0 / 0,N/A,,
