Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ALLA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALLA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ALLA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,WINID SILAMONGKOL,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAHATON RATTANAPIJIT,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,ONG-ARD PUNTUYAKORN,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,VALLAYA PUNTUYAKORN,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHIRAWAT SRISAWADI,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,RACHAYA RATTANASRITHONG,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHUMPHOL CHANCHAREON,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,MONTRI MAHAPLERKPONG,N/A,8 / 8,100.00,Yes,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit Committee,1.,WINID SILAMONGKOL,N/A,5 / 5,100.00,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit Committee,2.,CHIRAWAT SRISAWADI,N/A,5 / 5,100.00,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit Committee,3.,SAHATON RATTANAPIJIT,N/A,5 / 5,100.00,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit Committee,4.,MONTRI MAHAPLERKPONG,N/A,5 / 5,100.00,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ALLA,2022,8,5,27/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",1.,SAHATON RATTANAPIJIT,N/A,0 / 0,N/A,,
ALLA,2022,8,5,27/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",2.,CHIRAWAT SRISAWADI,N/A,0 / 0,N/A,,
ALLA,2022,8,5,27/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",3.,ONG-ARD PUNTUYAKORN,N/A,0 / 0,N/A,,
ALLA,2022,8,5,27/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",4.,MONTRI MAHAPLERKPONG,N/A,0 / 0,N/A,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit and Risk Management Committee,1.,WINID SILAMONGKOL,N/A,0 / 0,N/A,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit and Risk Management Committee,2.,CHIRAWAT SRISAWADI,N/A,0 / 0,N/A,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit and Risk Management Committee,3.,SAHATON RATTANAPIJIT,N/A,0 / 0,N/A,,
ALLA,2022,8,5,27/04/2022,No,Meeting Attendance of Audit and Risk Management Committee,4.,MONTRI MAHAPLERKPONG,N/A,0 / 0,N/A,,
ALLA,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,WINID SILAMONGKOL,N/A,6 / 6,100.00,Yes,
ALLA,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,SAHATON RATTANAPIJIT,N/A,6 / 6,100.00,Yes,
ALLA,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,ONG-ARD PUNTUYAKORN,N/A,6 / 6,100.00,Yes,
ALLA,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,VALLAYA PUNTUYAKORN,N/A,6 / 6,100.00,Yes,
ALLA,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,RACHAYA RATTANASRITHONG,N/A,4 / 6,66.67,Yes,
ALLA,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHUMPHOL CHANCHAREON,N/A,5 / 6,83.33,Yes,
ALLA,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,MONTRI MAHAPLERKPONG,N/A,6 / 6,100.00,Yes,
