Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ALLY,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALLY,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ALLY,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ALLY,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALLY,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ALLY,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,TEERA PHUTRAKUL,N/A,1 / 1,100.00,Yes,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of the Board of Directors,2.,VORAPAK TANYAWONG,N/A,0 / 0,N/A,No,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of the Board of Directors,3.,YUTTHANA  PHUPRAKAI,N/A,1 / 1,100.00,Yes,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of the Board of Directors,4.,KAVIN  EIAMSAKULRAT,N/A,1 / 1,100.00,Yes,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of RISK MANAGEMENT AND SUSTAINABILITY COMMITTEE (RMC),1.,KAVIN  EIAMSAKULRAT,N/A,0 / 0,N/A,,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of RISK MANAGEMENT AND SUSTAINABILITY COMMITTEE (RMC),2.,YUTTHANA  PHUPRAKAI,N/A,0 / 0,N/A,,
ALLY,2023,7,0,25/04/2023,No,Meeting Attendance of RISK MANAGEMENT AND SUSTAINABILITY COMMITTEE (RMC),3.,BUTTRA THOBUREE,N/A,0 / 0,N/A,,
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,TEERA PHUTRAKUL,N/A,7 / 7,100.00,1 / 1,1 / 1
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,VICHAI BENCHARONGKUL,N/A,1 / 1,100.00,0 / 0,Did not hold the meeting
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,KAVIN  EIAMSAKULRAT,N/A,7 / 7,100.00,1 / 1,1 / 1
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,YUTTHANA  PHUPRAKAI,N/A,7 / 7,100.00,1 / 1,1 / 1
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of Audit Committee,1.,TEERA PHUTRAKUL,N/A,0 / 0,N/A,,
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of Audit Committee,2.,VICHAI BENCHARONGKUL,N/A,0 / 0,N/A,,
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of Executive Committee,1.,VORAPAK TANYAWONG,01/10/2024,0 / 0,N/A,,
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of RISK MANAGEMENT AND SUSTAINABILITY COMMITTEE (RMC),1.,KAVIN  EIAMSAKULRAT,N/A,4 / 4,100.00,,
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of RISK MANAGEMENT AND SUSTAINABILITY COMMITTEE (RMC),2.,YUTTHANA  PHUPRAKAI,N/A,4 / 4,100.00,,
ALLY,2024,7,0,19/04/2024,Yes,Meeting Attendance of RISK MANAGEMENT AND SUSTAINABILITY COMMITTEE (RMC),3.,BUTTRA THOBUREE,N/A,4 / 4,100.00,,
ALLY,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALLY,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
ALLY,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
ALLY,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALLY,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
ALLY,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
