Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ALPHAX,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALPHAX,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ALPHAX,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,KUSOL SANGKANANTA,N/A,7 / 7,100.00,Yes,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,Teera Chutivarapon,N/A,7 / 7,100.00,Yes,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,BOONLERD IEWPORNCHAI,N/A,7 / 7,100.00,Yes,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,TARACH VORAVONGRATTANA,N/A,7 / 7,100.00,Yes,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,YOSSATAT NITISARUN,N/A,7 / 7,100.00,Yes,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PRASERTSAK AMATYAKUL,N/A,7 / 7,100.00,Yes,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,KITTISAK CHANOKMAT,N/A,7 / 7,100.00,Yes,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,WICHIEN LUKNATIN,N/A,4 / 4,100.00,No,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,KOVIT KERDSIRIRAK,N/A,4 / 4,100.00,No,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Audit Committee,1.,KITTISAK CHANOKMAT,N/A,5 / 5,100.00,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Audit Committee,2.,BOONLERD IEWPORNCHAI,N/A,5 / 5,100.00,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Audit Committee,3.,KUSOL SANGKANANTA,N/A,5 / 5,100.00,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,1.,Teera Chutivarapon,N/A,N/A,N/A,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,2.,WICHIEN LUKNATIN,N/A,N/A,N/A,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,3.,PRASERTSAK AMATYAKUL,N/A,N/A,N/A,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,4.,YOSSATAT NITISARUN,N/A,N/A,N/A,,
ALPHAX,2022,7,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,5.,Manittha Suchatpattamakul,N/A,N/A,N/A,,
ALPHAX,2023,10,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALPHAX,2023,10,4,28/04/2023,Yes,Meeting Attendance of Audit Committee,,No Information,,,,,
ALPHAX,2023,10,4,28/04/2023,Yes,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
ALPHAX,2023,10,4,28/04/2023,Yes,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
ALPHAX,2023,10,4,28/04/2023,Yes,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
ALPHAX,2024,9,4,29/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,EKAPHANH PHAPITHACK,N/A,9 / 9,100.00,1 / 1,1 / 1
ALPHAX,2024,9,4,29/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,KITTISAK CHANOKMAT,N/A,9 / 9,100.00,1 / 1,1 / 1
ALPHAX,2024,9,4,29/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,KAJORNKIET AROONPIRODJANAKUL,N/A,9 / 9,100.00,1 / 1,1 / 1
