Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ALUCON,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ALUCON,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ALUCON,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI AUNGSANANTA,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,VRINPORN UER-ANANT,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,TAKAAKI TAKEUCHI,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUBPACHAI LOVANIT,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,SALINEE MAHTANI,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,KRIT INDHEWAT,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,TOSHIYUKI KOIKE,N/A,5 / 5,100.00,No,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,VIBOOL UERANANT,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,KASUMI TAKEUCHI,N/A,5 / 5,100.00,No,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,10.,EUMPORN PAMORNBUTR,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of the Board of Directors,11.,MAKSIMILJAN PRISTOVSEK,N/A,5 / 5,100.00,Yes,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of Audit Committee,1.,VRINPORN UER-ANANT,N/A,4 / 4,100.00,,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of Audit Committee,2.,KRIT INDHEWAT,N/A,4 / 4,100.00,,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of Audit Committee,3.,TOSHIYUKI KOIKE,N/A,4 / 4,100.00,,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of Executive Committee,1.,TAKAAKI TAKEUCHI,N/A,N/A,N/A,,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of Executive Committee,2.,SALINEE MAHTANI,N/A,N/A,N/A,,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of Executive Committee,3.,SUBPACHAI LOVANIT,N/A,N/A,N/A,,
ALUCON,2022,5,4,25/04/2022,No,Meeting Attendance of Executive Committee,4.,MAKSIMILJAN PRISTOVSEK,N/A,N/A,N/A,,
