Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AMARIN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AMARIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AMARIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,METTA UTAKAPAN,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,THAPANA SIRIVADHANABHAKDI,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMCHAI PHAGAPHASVIVAT,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHEEWAPAT NATHALANG,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,RARIN UTAKAPAN PUNJARUNGROJ,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHOKCHAI PUNJARUNGROJ,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,KHUMPOL POONSONEE,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,NARARAT LIMNARARAT,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,PRAMOAD PHORNPRAPHA,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,NANTAWAT BORAMANAND,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,SUWIT CHINDASANGUAN,N/A,5 / 5,100.00,Yes,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of the Board of Directors,12.,KAMOLNAI CHAIXANIEN,28/04/2022,N/A,N/A,N/A,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Audit Committee,1.,SUWIT CHINDASANGUAN,N/A,6 / 6,100.00,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Audit Committee,2.,NANTAWAT BORAMANAND,28/04/2022,N/A,N/A,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Audit Committee,3.,SOMCHAI PHAGAPHASVIVAT,28/04/2022,N/A,N/A,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Executive Committee,1.,NARARAT LIMNARARAT,N/A,N/A,N/A,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Executive Committee,2.,KHUMPOL POONSONEE,N/A,N/A,N/A,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Executive Committee,3.,RARIN UTAKAPAN PUNJARUNGROJ,N/A,N/A,N/A,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Executive Committee,4.,CHEEWAPAT NATHALANG,N/A,N/A,N/A,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Executive Committee,5.,Siri Bunpitukgate,N/A,N/A,N/A,,
AMARIN,2022,5,6,28/04/2022,No,Meeting Attendance of Executive Committee,6.,Jeremiah Pitakwong,N/A,N/A,N/A,,
