Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AMATAV,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AMATAV,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AMATAV,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,1.,APICHART CHINWANNO,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,2.,HUYNH NGOC PHIEN,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMHATAI PANICHEWA,N/A,7 / 7,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,4.,ORANUCH APISAKSIRIKUL,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,5.,KITTI TANGJITRMANEESAKDA,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,6.,AUKKARES CHOOCHOUY,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,7.,WARAPATR TODHANAKASEM,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHATCHAI PAYUHANAVEECHAI,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of the Board of Directors,9.,NATTAMON LIMTHANACHAI,N/A,8 / 8,100.00,Yes,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Audit Committee,1.,ORANUCH APISAKSIRIKUL,N/A,4 / 4,100.00,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Audit Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,4 / 4,100.00,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Audit Committee,3.,NATTAMON LIMTHANACHAI,N/A,4 / 4,100.00,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,WARAPATR TODHANAKASEM,N/A,0 / 0,N/A,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,0 / 0,N/A,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHATCHAI PAYUHANAVEECHAI,N/A,0 / 0,N/A,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,WARAPATR TODHANAKASEM,N/A,0 / 0,N/A,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,HUYNH NGOC PHIEN,N/A,0 / 0,N/A,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,SOMHATAI PANICHEWA,N/A,0 / 0,N/A,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SOMHATAI PANICHEWA,N/A,0 / 0,N/A,,
AMATAV,2022,8,4,12/04/2022,No,Meeting Attendance of Risk Management Committee,2.,ORANUCH APISAKSIRIKUL,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,APICHART CHINWANNO,N/A,9 / 9,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,HUYNH NGOC PHIEN,N/A,9 / 9,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,WARAPATR TODHANAKASEM,N/A,9 / 9,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,ORANUCH APISAKSIRIKUL,N/A,9 / 9,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,SOMHATAI PANICHEWA,N/A,8 / 8,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,AUKKARES CHOOCHOUY,N/A,9 / 9,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,KITTI TANGJITRMANEESAKDA,N/A,9 / 9,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,NATTAMON LIMTHANACHAI,N/A,9 / 9,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHATCHAI PAYUHANAVEECHAI,16/05/2023,3 / 3,100.00,Yes,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of Audit Committee,1.,ORANUCH APISAKSIRIKUL,N/A,4 / 4,100.00,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of Audit Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,4 / 4,100.00,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of Audit Committee,3.,NATTAMON LIMTHANACHAI,N/A,4 / 4,100.00,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,WARAPATR TODHANAKASEM,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,AUKKARES CHOOCHOUY,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of The Corporate Governance Committee,1.,WARAPATR TODHANAKASEM,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of The Corporate Governance Committee,2.,HUYNH NGOC PHIEN,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of The Corporate Governance Committee,3.,SOMHATAI PANICHEWA,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of Risk Management Committee,1.,SOMHATAI PANICHEWA,N/A,0 / 0,N/A,,
AMATAV,2023,9,4,20/04/2023,No,Meeting Attendance of Risk Management Committee,2.,ORANUCH APISAKSIRIKUL,N/A,0 / 0,N/A,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,APICHART CHINWANNO,N/A,8 / 8,100.00,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,HUYNH NGOC PHIEN,N/A,8 / 8,100.00,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,SOMHATAI PANICHEWA,N/A,7 / 7,100.00,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,ORANUCH APISAKSIRIKUL,N/A,8 / 8,100.00,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,KITTI TANGJITRMANEESAKDA,N/A,8 / 8,100.00,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,AUKKARES CHOOCHOUY,N/A,8 / 8,100.00,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,WARAPATR TODHANAKASEM,N/A,7 / 8,87.50,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,8.,YUTTANA JIAMTRAGAN,N/A,5 / 5,100.00,0 / 0,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of the Board of Directors,9.,NATTAMON LIMTHANACHAI,30/06/2024,3 / 3,100.00,1 / 1,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of Audit Committee,1.,ORANUCH APISAKSIRIKUL,N/A,5 / 5,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of Audit Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,5 / 5,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of Audit Committee,3.,YUTTANA JIAMTRAGAN,N/A,3 / 3,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of Audit Committee,4.,NATTAMON LIMTHANACHAI,30/06/2024,2 / 2,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,WARAPATR TODHANAKASEM,N/A,4 / 4,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,4 / 4,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,AUKKARES CHOOCHOUY,N/A,4 / 4,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of The Corporate Governance Committee,1.,WARAPATR TODHANAKASEM,N/A,2 / 2,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of The Corporate Governance Committee,2.,HUYNH NGOC PHIEN,N/A,2 / 2,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of The Corporate Governance Committee,3.,SOMHATAI PANICHEWA,N/A,2 / 2,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,1.,SOMHATAI PANICHEWA,N/A,3 / 3,100.00,,
AMATAV,2024,8,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,2.,ORANUCH APISAKSIRIKUL,N/A,3 / 3,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,APICHART CHINWANNO,N/A,9 / 9,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,HUYNH NGOC PHIEN,N/A,9 / 9,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,SOMHATAI PANICHEWA,N/A,8 / 8,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,ORANUCH APISAKSIRIKUL,N/A,9 / 9,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,KITTI TANGJITRMANEESAKDA,N/A,9 / 9,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,AUKKARES CHOOCHOUY,N/A,9 / 9,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,WARAPATR TODHANAKASEM,N/A,9 / 9,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,YUTTANA JIAMTRAGAN,N/A,9 / 9,100.00,1 / 1,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,PAUL WAYNE TURNBULL JR,N/A,1 / 1,100.00,0 / 0,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,ORANUCH APISAKSIRIKUL,N/A,4 / 4,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,4 / 4,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,YUTTANA JIAMTRAGAN,N/A,4 / 4,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,WARAPATR TODHANAKASEM,N/A,4 / 4,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,KITTI TANGJITRMANEESAKDA,N/A,4 / 4,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,AUKKARES CHOOCHOUY,N/A,4 / 4,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,1.,WARAPATR TODHANAKASEM,N/A,2 / 2,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,2.,HUYNH NGOC PHIEN,N/A,2 / 2,100.00,,
AMATAV,2025,N/A,N/A,N/A,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,3.,SOMHATAI PANICHEWA,N/A,2 / 2,100.00,,
