Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
APCO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
APCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
APCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of the Board of Directors,1.,MALEERATNA PLUMCHITCHOM,N/A,5 / 5,100.00,Yes,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of the Board of Directors,2.,ARUNEE WIRIYACHITRA,N/A,5 / 5,100.00,Yes,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of the Board of Directors,3.,PICHAET WIRIYACHITRA,N/A,5 / 5,100.00,Yes,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of the Board of Directors,4.,JINGJAI HANCHANLASH,N/A,5 / 5,100.00,Yes,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of the Board of Directors,5.,PRAIPOL KOOMSUP,N/A,5 / 5,100.00,Yes,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of the Board of Directors,6.,VARAKORN SAMAKOSES,N/A,5 / 5,100.00,Yes,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of Audit Committee,1.,MALEERATNA PLUMCHITCHOM,N/A,4 / 4,100.00,,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of Audit Committee,2.,PRAIPOL KOOMSUP,N/A,4 / 4,100.00,,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of Audit Committee,3.,VARAKORN SAMAKOSES,N/A,4 / 4,100.00,,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of Executive Committee,1.,PICHAET WIRIYACHITRA,N/A,N/A,N/A,,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of Executive Committee,2.,JINGJAI HANCHANLASH,N/A,N/A,N/A,,
APCO,2022,5,N/A,18/04/2022,No,Meeting Attendance of Executive Committee,3.,ARUNEE WIRIYACHITRA,N/A,N/A,N/A,,
APCO,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,MALEERATNA PLUMCHITCHOM,N/A,5 / 5,100.00,Yes,
APCO,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,ARUNEE WIRIYACHITRA,N/A,5 / 5,100.00,Yes,
APCO,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,PICHAET WIRIYACHITRA,N/A,5 / 5,100.00,Yes,
APCO,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,JINGJAI HANCHANLASH,N/A,5 / 5,100.00,Yes,
APCO,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,VARAKORN SAMAKOSES,N/A,5 / 5,100.00,Yes,
