Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
APURE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
APURE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
APURE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
APURE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
APURE,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
APURE,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,SURAEDPON JUNGRUNGRUANGKIT,N/A,3 / 5,60.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,THARMMASAK PONGPIDJAYAMAAD,N/A,5 / 5,100.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,KITTIMA IMPRASERT,N/A,5 / 5,100.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,SAOWANEE PRASERTWATTANAKUL,N/A,5 / 5,100.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,SINEEMAS SOTPIPARPNUKUL,N/A,4 / 5,80.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,SAKDA SINIVES,N/A,5 / 5,100.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,BHORNRAT BHBPHAVANICH,N/A,5 / 5,100.00,No,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,SAVANUT BOONYASUWAT,N/A,5 / 5,100.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,9.,RUNGTIVA LEELAVORAVONG,N/A,5 / 5,100.00,Yes,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,10.,CHARAT WEESUVON,N/A,4 / 4,100.00,No,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,11.,NORAWIT WATEWAI,24/02/2023,1 / 1,100.00,No,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,THARMMASAK PONGPIDJAYAMAAD,N/A,4 / 4,100.00,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,SAKDA SINIVES,N/A,4 / 4,100.00,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,SAVANUT BOONYASUWAT,N/A,4 / 4,100.00,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,4.,CHARAT WEESUVON,N/A,3 / 3,100.00,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,5.,NORAWIT WATEWAI,24/02/2023,1 / 1,100.00,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,THARMMASAK PONGPIDJAYAMAAD,N/A,0 / 0,N/A,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,CHARAT WEESUVON,N/A,0 / 0,N/A,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,SAKDA SINIVES,N/A,0 / 0,N/A,,
APURE,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,4.,SAVANUT BOONYASUWAT,N/A,0 / 0,N/A,,
