Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ARROW,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ARROW,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ARROW,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,VICHAI THOSUWONCHINDA,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,LERTCHAI VONGCHAISIT,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,PANUPONG WIJITTHONGRUANG,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,PRAKRONG NAMNANTHASITH,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,TANIN TANPRAWAT,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,SURADEJ CHUNTRANULUCK,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,NUMPON NGURNNUMCHOKE,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHANA SINGRUNGRUANG,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,THARAPONG RUJIWONG,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,SOMPHOP JULO,N/A,4 / 4,100.00,Yes,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,SURADEJ CHUNTRANULUCK,N/A,4 / 4,100.00,,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,NUMPON NGURNNUMCHOKE,N/A,4 / 4,100.00,,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,CHANA SINGRUNGRUANG,N/A,4 / 4,100.00,,
ARROW,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,LERTCHAI VONGCHAISIT,N/A,N/A,N/A,,
