Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ASAP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ASAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ASAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,SONGVIT TITIPOONYA,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,PARINDA VONGVITAVAT,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,RAMIHA PACHARAVANICH,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,YOL PHOKASUB,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,SIRAVUDHI SUKANTHANARK,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,TANACHAI BUNDITVORAPOOM,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,SAJJAPHORN KANITTABUT,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,PRAYUTH JITVACHARAKOMOL,N/A,5 / 5,100.00,Yes,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,RAMIHA PACHARAVANICH,N/A,4 / 4,100.00,,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,SAJJAPHORN KANITTABUT,N/A,4 / 4,100.00,,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,PRAYUTH JITVACHARAKOMOL,N/A,4 / 4,100.00,,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRAYUTH JITVACHARAKOMOL,N/A,0 / 0,N/A,,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PARINDA VONGVITAVAT,N/A,0 / 0,N/A,,
ASAP,2022,5,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,TANACHAI BUNDITVORAPOOM,N/A,0 / 0,N/A,,
ASAP,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,SONGVIT TITIPOONYA,N/A,4 / 4,100.00,Yes,
ASAP,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,PARINDA VONGVITAVAT,N/A,4 / 4,100.00,Yes,
ASAP,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,RAMIHA PACHARAVANICH,N/A,4 / 4,100.00,No,
ASAP,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,YOL PHOKASUB,N/A,4 / 4,100.00,Yes,
ASAP,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,SIRAVUDHI SUKANTHANARK,N/A,4 / 4,100.00,Yes,
