Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ASIA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ASIA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ASIA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,PIYAWUDH SENAPOOPITAKSA,N/A,10 / 10,100.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUVIMOL TECHARUVICHIT,N/A,7 / 10,70.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,SURAPONG TECHARUVICHIT,N/A,10 / 10,100.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,PORNPUN TANARIYAKUL,N/A,9 / 10,90.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUWAT DUSITROJANAWONGS,N/A,10 / 10,100.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHOTIMA PUASIRI,N/A,9 / 10,90.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,PATCHA TECHARUVICHIT,N/A,8 / 10,80.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,POLPAT TECHARUVICHIT,N/A,10 / 10,100.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,OYETIP HAYRABUT,N/A,6 / 10,60.00,No,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,10.,RUCHUKORN SIRIYODHIN,N/A,8 / 10,80.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,11.,SURAPOL TECHARUVICHIT,N/A,9 / 10,90.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,12.,CHANCHAI YOSSUNDARA,N/A,8 / 10,80.00,Yes,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,13.,KESARIN PUPIPHATHIRUNKUL,N/A,2 / 3,66.67,No,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of the Board of Directors,14.,SOMBUT POOPIPATHIRUNKUL,11/08/2022,1 / 6,16.67,No,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,1.,SUWAT DUSITROJANAWONGS,N/A,4 / 4,100.00,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,2.,PIYAWUDH SENAPOOPITAKSA,N/A,4 / 4,100.00,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,3.,CHOTIMA PUASIRI,N/A,3 / 4,75.00,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,4.,SOMBUT POOPIPATHIRUNKUL,11/08/2022,0 / 2,0.00,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Executive Committee,1.,SURAPOL TECHARUVICHIT,N/A,N/A,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Executive Committee,2.,SURAPONG TECHARUVICHIT,N/A,N/A,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Executive Committee,3.,PORNPUN TANARIYAKUL,N/A,N/A,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Executive Committee,4.,OYETIP HAYRABUT,N/A,N/A,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,1.,SUWAT DUSITROJANAWONGS,N/A,0 / 0,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,2.,PIYAWUDH SENAPOOPITAKSA,N/A,0 / 0,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,3.,CHOTIMA PUASIRI,N/A,0 / 0,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Audit Committee,4.,RUCHUKORN SIRIYODHIN,N/A,0 / 0,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SUWAT DUSITROJANAWONGS,N/A,0 / 0,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PIYAWUDH SENAPOOPITAKSA,N/A,0 / 0,N/A,,
ASIA,2022,10,4,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PORNPUN TANARIYAKUL,N/A,0 / 0,N/A,,
ASIA,2023,12,5,19/04/2023,No,Meeting Attendance of the Board of Directors,1.,SUWAT DUSITROJANAWONGS,N/A,12 / 12,100.00,Yes,
ASIA,2023,12,5,19/04/2023,No,Meeting Attendance of the Board of Directors,2.,SUVIMOL TECHARUVICHIT,N/A,11 / 12,91.67,No,
ASIA,2023,12,5,19/04/2023,No,Meeting Attendance of the Board of Directors,3.,SURAPONG TECHARUVICHIT,N/A,12 / 12,100.00,Yes,
ASIA,2023,12,5,19/04/2023,No,Meeting Attendance of the Board of Directors,4.,PORNPUN TANARIYAKUL,N/A,12 / 12,100.00,Yes,
ASIA,2023,12,5,19/04/2023,No,Meeting Attendance of the Board of Directors,5.,CHOTIMA PUASIRI,N/A,10 / 12,83.33,No,
ASIA,2023,12,5,19/04/2023,No,Meeting Attendance of the Board of Directors,6.,OYETIP HAYRABUT,N/A,12 / 12,100.00,Yes,
