Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRAMOTH SUDJITPORN,N/A,4 / 4,100.00,Yes,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHALERMPHONG JITKUNTIVONG,N/A,4 / 4,100.00,Yes,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,MONLUEDEE SOOKPANTARAT,N/A,4 / 4,100.00,Yes,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,YANAPHON YOUNGYUEN,N/A,4 / 4,100.00,Yes,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,KITTIPONG PRUCKSA-AROON,N/A,4 / 4,100.00,Yes,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of Audit Committee,1.,CHALERMPHONG JITKUNTIVONG,N/A,5 / 5,100.00,,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of Audit Committee,2.,MONLUEDEE SOOKPANTARAT,N/A,5 / 5,100.00,,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of Audit Committee,3.,YANAPHON YOUNGYUEN,N/A,5 / 5,100.00,,
AS,2022,4,5,22/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRAMOTH SUDJITPORN,N/A,8 / 8,100.00,Yes,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHALERMPHONG JITKUNTIVONG,N/A,8 / 8,100.00,Yes,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of the Board of Directors,3.,MONLUEDEE SOOKPANTARAT,N/A,8 / 8,100.00,Yes,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of the Board of Directors,4.,YANAPHON YOUNGYUEN,N/A,8 / 8,100.00,Yes,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of the Board of Directors,5.,KITTIPONG PRUCKSA-AROON,N/A,8 / 8,100.00,Yes,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of the Board of Directors,6.,SANTITHORN BUNCHUA,N/A,6 / 6,100.00,No,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of Audit Committee,1.,CHALERMPHONG JITKUNTIVONG,N/A,8 / 8,100.00,,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of Audit Committee,2.,MONLUEDEE SOOKPANTARAT,N/A,8 / 8,100.00,,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of Audit Committee,3.,YANAPHON YOUNGYUEN,N/A,8 / 8,100.00,,
AS,2023,8,8,25/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of the Board of Directors,1.,PRAMOTH SUDJITPORN,N/A,7 / 7,100.00,Yes,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHALERMPHONG JITKUNTIVONG,N/A,8 / 8,100.00,Yes,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of the Board of Directors,3.,MONLUEDEE SOOKPANTARAT,N/A,8 / 8,100.00,Yes,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of the Board of Directors,4.,YANAPHON YOUNGYUEN,N/A,8 / 8,100.00,Yes,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of the Board of Directors,5.,KITTIPONG PRUCKSA-AROON,N/A,7 / 7,100.00,Yes,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of the Board of Directors,6.,TEERADET DUMRONGBHALASITR,N/A,2 / 2,100.00,Yes,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of the Board of Directors,7.,SANTITHORN BUNCHUA,12/02/2024,5 / 5,100.00,No,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of Audit Committee,1.,CHALERMPHONG JITKUNTIVONG,N/A,5 / 5,100.00,,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of Audit Committee,2.,MONLUEDEE SOOKPANTARAT,N/A,5 / 5,100.00,,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of Audit Committee,3.,YANAPHON YOUNGYUEN,N/A,5 / 5,100.00,,
AS,2024,8,5,26/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AS,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
AS,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
AS,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
AS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
AS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
AS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
