Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ATP30,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ATP30,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ATP30,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHARTCHAI PANICHEWA,N/A,5 / 5,100.00,Yes,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,2.,VIWAT KROMADIT,N/A,5 / 5,100.00,Yes,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMHATAI PANICHEWA,N/A,5 / 5,100.00,Yes,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,4.,PIYA TECHAKUL,N/A,5 / 5,100.00,Yes,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,5.,KUMCHAI BOONJIRACHOT,N/A,5 / 5,100.00,Yes,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUWANEE KHAMMAN,N/A,5 / 5,100.00,Yes,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRASERT AKKHARAPRATHOMPHONG,N/A,5 / 5,100.00,Yes,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,8.,Sujit Panvongpaiboon,N/A,N/A,N/A,N/A,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of the Board of Directors,9.,TANIN HIRUNPUNTHAPORN,21/02/2023,N/A,N/A,N/A,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of Audit Committee,1.,SUWANEE KHAMMAN,N/A,4 / 4,100.00,,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of Audit Committee,2.,KUMCHAI BOONJIRACHOT,N/A,4 / 4,100.00,,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of Audit Committee,3.,PRASERT AKKHARAPRATHOMPHONG,N/A,4 / 4,100.00,,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of Executive Committee,1.,PIYA TECHAKUL,N/A,N/A,N/A,,
ATP30,2022,5,4,01/04/2022,No,Meeting Attendance of Executive Committee,2.,CHARTCHAI PANICHEWA,N/A,N/A,N/A,,
