Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
AUCT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
AUCT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
AUCT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,PAIBOON SAREEWIWATTHANA,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAUWANEE THAIRUNGROJ,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,WILAIWAN SRISAMRUAL,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,THEERATHON THARACHAI,N/A,4 / 4,100.00,No,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,THEPTHAI SILA,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUVIT YOADJARUST,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,WEIDT NUCHJALEARN,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,SARAWUT CHARUCHINDA,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,VARUNYOO SILA,N/A,5 / 5,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of the Board of Directors,10.,MONTREE SOCATIYANURAK,08/04/2022,1 / 1,100.00,Yes,
AUCT,2022,5,5,08/04/2022,No,Meeting Attendance of Audit Committee,1.,SAUWANEE THAIRUNGROJ,N/A,5 / 5,100.00,,
