Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BAM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BAM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BAM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,TONGURAI LIMPITI,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,BUNYONG VISATEMONGKOLCHAI,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,VASANT THIENHOM,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,YOS KIMSAWATDE,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,MANEERAT SRISAOVAJATI,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,SONGPOL CHEVAPANYAROJ,N/A,13 / 15,86.67,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,SATORN TOPOTHAI,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,PISIT SEREWIWATTANA,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,TIBORDEE WATTANAKUL,N/A,14 / 14,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,THAKORN PIYAPAN,N/A,6 / 8,75.00,No,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,BUNDIT ANANTAMONGKOL,N/A,15 / 15,100.00,Yes,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Audit Committee,1.,VASANT THIENHOM,N/A,16 / 16,100.00,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Audit Committee,2.,YOS KIMSAWATDE,N/A,16 / 16,100.00,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Audit Committee,3.,MANEERAT SRISAOVAJATI,N/A,16 / 16,100.00,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Audit Committee,4.,SONGPOL CHEVAPANYAROJ,N/A,16 / 16,100.00,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Executive Committee,1.,BUNYONG VISATEMONGKOLCHAI,N/A,N/A,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Executive Committee,2.,SATORN TOPOTHAI,N/A,N/A,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Executive Committee,3.,PISIT SEREWIWATTANA,N/A,N/A,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Executive Committee,4.,BUNDIT ANANTAMONGKOL,N/A,N/A,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of Executive Committee,5.,Vichan Amornrojanavong,N/A,N/A,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Risk Oversight Committee,1.,SONGPOL CHEVAPANYAROJ,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Risk Oversight Committee,2.,PISIT SEREWIWATTANA,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Risk Oversight Committee,3.,BUNDIT ANANTAMONGKOL,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,VASANT THIENHOM,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,MANEERAT SRISAOVAJATI,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,SATORN TOPOTHAI,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,4.,Sumate Maneewattana,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,5.,SONGPOL CHEVAPANYAROJ,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,1.,MANEERAT SRISAOVAJATI,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,2.,YOS KIMSAWATDE,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,3.,TIBORDEE WATTANAKUL,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Technology Committee,1.,YOS KIMSAWATDE,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Technology Committee,2.,THAKORN PIYAPAN,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Technology Committee,3.,BUNDIT ANANTAMONGKOL,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Technology Committee,4.,TIBORDEE WATTANAKUL,N/A,0 / 0,N/A,,
BAM,2022,15,16,22/04/2022,No,Meeting Attendance of The Technology Committee,5.,Voraprapa Nakavachara,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,TONGURAI LIMPITI,N/A,13 / 14,92.86,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,BUNYONG VISATEMONGKOLCHAI,N/A,14 / 14,100.00,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,YOS KIMSAWATDE,N/A,14 / 14,100.00,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,VASANT THIENHOM,N/A,14 / 14,100.00,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,MANEERAT SRISAOVAJATI,N/A,14 / 14,100.00,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,SONGPOL CHEVAPANYAROJ,N/A,13 / 14,92.86,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,SATORN TOPOTHAI,N/A,14 / 14,100.00,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,PISIT SEREWIWATTANA,N/A,13 / 14,92.86,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,9.,TIBORDEE WATTANAKUL,N/A,14 / 14,100.00,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,10.,THAKORN PIYAPAN,N/A,13 / 14,92.86,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of the Board of Directors,11.,BUNDIT ANANTAMONGKOL,N/A,14 / 14,100.00,Yes,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Audit Committee,1.,VASANT THIENHOM,N/A,15 / 15,100.00,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Audit Committee,2.,YOS KIMSAWATDE,N/A,14 / 15,93.33,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Audit Committee,3.,MANEERAT SRISAOVAJATI,N/A,15 / 15,100.00,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Audit Committee,4.,SONGPOL CHEVAPANYAROJ,N/A,14 / 15,93.33,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Executive Committee,1.,BUNYONG VISATEMONGKOLCHAI,N/A,N/A,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Executive Committee,2.,SATORN TOPOTHAI,N/A,N/A,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Executive Committee,3.,PISIT SEREWIWATTANA,N/A,N/A,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Executive Committee,4.,BUNDIT ANANTAMONGKOL,N/A,N/A,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of Executive Committee,5.,Vichan Amornrojanavong,N/A,N/A,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Risk Oversight Committee,1.,SONGPOL CHEVAPANYAROJ,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Risk Oversight Committee,2.,PISIT SEREWIWATTANA,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Risk Oversight Committee,3.,BUNDIT ANANTAMONGKOL,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,VASANT THIENHOM,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,MANEERAT SRISAOVAJATI,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,SATORN TOPOTHAI,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,4.,Sumate Maneewattana,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,5.,SONGPOL CHEVAPANYAROJ,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,1.,MANEERAT SRISAOVAJATI,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,2.,YOS KIMSAWATDE,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Corporate Governance and Sustainability Committee,3.,TIBORDEE WATTANAKUL,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Technology Committee,1.,YOS KIMSAWATDE,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Technology Committee,2.,THAKORN PIYAPAN,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Technology Committee,3.,BUNDIT ANANTAMONGKOL,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Technology Committee,4.,TIBORDEE WATTANAKUL,N/A,0 / 0,N/A,,
BAM,2023,14,15,24/04/2023,No,Meeting Attendance of The Technology Committee,5.,Voraprapa Nakavachara,N/A,0 / 0,N/A,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,1.,TONGURAI LIMPITI,N/A,17 / 17,100.00,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,2.,BUNYONG VISATEMONGKOLCHAI,N/A,17 / 17,100.00,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,3.,YOS KIMSAWATDE,N/A,16 / 17,94.12,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,4.,VASANT THIENHOM,N/A,17 / 17,100.00,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,5.,BUNDIT ANANTAMONGKOL,N/A,13 / 17,76.47,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,6.,SATORN TOPOTHAI,N/A,17 / 17,100.00,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,7.,PISIT SEREWIWATTANA,N/A,16 / 17,94.12,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,8.,THAKORN PIYAPAN,N/A,16 / 17,94.12,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,9.,VARUNEE SUCHITVAS,N/A,14 / 14,100.00,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,10.,SIRIVIPA SUPANTANET,N/A,10 / 11,90.91,0 / 0,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,11.,PIYAWAN LAMKITCHA,N/A,11 / 11,100.00,0 / 0,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,12.,MANEERAT SRISAOVAJATI,22/04/2024,5 / 5,100.00,1 / 1,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,13.,SONGPOL CHEVAPANYAROJ,16/02/2024,2 / 2,100.00,0 / 0,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of the Board of Directors,14.,TIBORDEE WATTANAKUL,01/03/2024,3 / 3,100.00,0 / 0,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Audit Committee,1.,VASANT THIENHOM,N/A,16 / 16,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Audit Committee,2.,YOS KIMSAWATDE,N/A,16 / 16,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Audit Committee,3.,VARUNEE SUCHITVAS,N/A,11 / 12,91.67,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Audit Committee,4.,SIRIVIPA SUPANTANET,N/A,11 / 11,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Audit Committee,5.,MANEERAT SRISAOVAJATI,22/04/2024,5 / 5,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Audit Committee,6.,SONGPOL CHEVAPANYAROJ,16/02/2024,2 / 2,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Executive Committee,1.,SATORN TOPOTHAI,N/A,37 / 41,90.24,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Executive Committee,2.,PISIT SEREWIWATTANA,N/A,38 / 41,92.68,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Executive Committee,3.,BUNDIT ANANTAMONGKOL,N/A,41 / 41,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Executive Committee,4.,Vichan Amornrojanavong,N/A,38 / 41,92.68,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Executive Committee,5.,PIYAWAN LAMKITCHA,N/A,3 / 3,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of Executive Committee,6.,BUNYONG VISATEMONGKOLCHAI,30/11/2024,35 / 38,92.11,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of The Risk Oversight Committee,1.,THAKORN PIYAPAN,N/A,6 / 9,66.67,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of The Risk Oversight Committee,2.,SIRIVIPA SUPANTANET,N/A,1 / 1,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of The Risk Oversight Committee,3.,BUNDIT ANANTAMONGKOL,N/A,11 / 11,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,VASANT THIENHOM,N/A,16 / 16,100.00,,
BAM,2024,17,16,22/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,SATORN TOPOTHAI,N/A,16 / 16,100.00,,
