Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BBIK,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BBIK,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BBIK,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,THANA THIENACHARIYA,N/A,6 / 6,100.00,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,PAKORN JIEMSKULTIP,N/A,6 / 6,100.00,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,POCHARA ARAYAKARNKUL,N/A,6 / 6,100.00,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUTIDA CHANSOMBOON,N/A,5 / 6,83.33,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,PHIPHAT PRAPAPANPONG,N/A,6 / 6,100.00,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,PONGSUK HIRANPRUECK,N/A,5 / 6,83.33,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,VASIT KANJANAHUTTAKIT,N/A,6 / 6,100.00,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHALAKORN PANYASHOM,N/A,6 / 6,100.00,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,KANCHIT BUNAJINDA,N/A,6 / 6,100.00,Yes,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of Audit Committee,1.,VASIT KANJANAHUTTAKIT,N/A,4 / 4,100.00,,
BBIK,2022,6,4,25/04/2022,No,Meeting Attendance of Audit Committee,2.,PONGSUK HIRANPRUECK,N/A,4 / 4,100.00,,
