Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BCP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BCP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BCP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,SUTHEP WONGVORAZATHE,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,PICHAI CHUNHAVAJIRA,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHAIWAT KOVAVISARACH,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHAIWAT CHOTIMA,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,PRISANA PRAHARNKHASUK,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,PORAMETEE VIMOLSIRI,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,KULAYA TANTITEMIT,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,SONGWIT NOONPACKDEE,N/A,10 / 13,76.92,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHANROEN PHOTHIYOD,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,10.,BOONCHOB SUTHAMANUSWONG,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,11.,PRASONG POONTANEAT,N/A,13 / 13,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,12.,ACHPORN CHARUCHINDA,N/A,12 / 13,92.31,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,13.,CHAOVALIT EKABUT,N/A,12 / 12,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,14.,NARIN KALAYANAMIT,N/A,10 / 10,100.00,Yes,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,15.,SAMRAN NUALMA,N/A,10 / 10,100.00,No,
BCP,2022,13,12,08/04/2022,No,Meeting Attendance of the Board of Directors,16.,SUCHEEP WHOUNGMAITREE,08/04/2022,3 / 3,100.00,Yes,
