Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,PERMPOON KRAIRIKSH,N/A,9 / 9,100.00,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,KAJOHNDET SANGSUBAN,N/A,9 / 9,100.00,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,RUSSELL LEIGHTON KEKUEWA,N/A,8 / 9,88.89,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,JULAPORN NAMCHAISIRI,N/A,8 / 9,88.89,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,PRABSHARAN SINGH THAKRAL,N/A,9 / 9,100.00,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,MANMOHAN SINGH THAKRAL,N/A,9 / 9,100.00,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,UTPALENDU GUPTA,N/A,7 / 9,77.78,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,RICHARD PETER NEVILLE,N/A,9 / 9,100.00,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,NATCHA VINICHBUTR,N/A,3 / 3,100.00,No,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,EKANUT UNGPHAKORN,11/08/2022,6 / 6,100.00,Yes,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Audit Committee,1.,KAJOHNDET SANGSUBAN,N/A,4 / 4,100.00,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Audit Committee,2.,RUSSELL LEIGHTON KEKUEWA,N/A,4 / 4,100.00,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Audit Committee,3.,JULAPORN NAMCHAISIRI,N/A,3 / 4,75.00,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Executive Committee,1.,PRABSHARAN SINGH THAKRAL,N/A,N/A,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Executive Committee,2.,NATCHA VINICHBUTR,N/A,N/A,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Executive Committee,3.,EKANUT UNGPHAKORN,11/08/2022,N/A,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,JULAPORN NAMCHAISIRI,N/A,0 / 0,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,PRABSHARAN SINGH THAKRAL,N/A,0 / 0,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,RUSSELL LEIGHTON KEKUEWA,N/A,0 / 0,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Audit and Corporate Governance Committee,1.,KAJOHNDET SANGSUBAN,N/A,0 / 0,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Audit and Corporate Governance Committee,2.,JULAPORN NAMCHAISIRI,N/A,0 / 0,N/A,,
BC,2022,9,4,27/04/2022,Yes,Meeting Attendance of Audit and Corporate Governance Committee,3.,RUSSELL LEIGHTON KEKUEWA,N/A,0 / 0,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,PERMPOON KRAIRIKSH,N/A,7 / 7,100.00,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,KAJOHNDET SANGSUBAN,N/A,7 / 7,100.00,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,RUSSELL LEIGHTON KEKUEWA,N/A,7 / 7,100.00,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,JULAPORN NAMCHAISIRI,N/A,7 / 7,100.00,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,PRABSHARAN SINGH THAKRAL,N/A,7 / 7,100.00,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,MANMOHAN SINGH THAKRAL,N/A,5 / 7,71.43,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,UTPALENDU GUPTA,N/A,7 / 7,100.00,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,RICHARD PETER NEVILLE,N/A,6 / 7,85.71,No,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,9.,NATCHA VINICHBUTR,01/07/2023,2 / 2,100.00,Yes,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,KAJOHNDET SANGSUBAN,N/A,4 / 4,100.00,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,RUSSELL LEIGHTON KEKUEWA,N/A,4 / 4,100.00,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,JULAPORN NAMCHAISIRI,N/A,4 / 4,100.00,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,PRABSHARAN SINGH THAKRAL,N/A,N/A,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Executive Committee,2.,NATCHA VINICHBUTR,01/07/2023,N/A,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,JULAPORN NAMCHAISIRI,N/A,0 / 0,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PRABSHARAN SINGH THAKRAL,N/A,0 / 0,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,RUSSELL LEIGHTON KEKUEWA,N/A,0 / 0,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Audit and Corporate Governance Committee,1.,KAJOHNDET SANGSUBAN,N/A,0 / 0,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Audit and Corporate Governance Committee,2.,JULAPORN NAMCHAISIRI,N/A,0 / 0,N/A,,
BC,2023,7,4,26/04/2023,No,Meeting Attendance of Audit and Corporate Governance Committee,3.,RUSSELL LEIGHTON KEKUEWA,N/A,0 / 0,N/A,,
BC,2024,7,4,23/04/2024,No,Meeting Attendance of the Board of Directors,1.,Permpoon  Krairiksh,N/A,6 / 7,85.71,1 / 1,
BC,2024,7,4,23/04/2024,No,Meeting Attendance of the Board of Directors,2.,Kajohndet  Sangsuban,N/A,7 / 7,100.00,1 / 1,
BC,2024,7,4,23/04/2024,No,Meeting Attendance of the Board of Directors,3.,Julaporn Namchaisiri,N/A,7 / 7,100.00,1 / 1,
