Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BDMS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BDMS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BDMS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BDMS,2022,12,N/A,12/04/2022,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BDMS,2022,12,N/A,12/04/2022,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BDMS,2022,12,N/A,12/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BDMS,2023,N/A,N/A,N/A,Yes,Meeting Attendance of the Board of Directors,,No Information,,,,,
BDMS,2023,N/A,N/A,N/A,Yes,Meeting Attendance of Audit Committee,,No Information,,,,,
BDMS,2023,N/A,N/A,N/A,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,1.,SANTASIRI SORNMANI,N/A,12 / 12,100.00,1 / 1,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHULADEJ YOSSUNDHARAKUL,N/A,12 / 12,100.00,1 / 1,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,3.,SRIPOP SARASAS,N/A,12 / 12,100.00,1 / 1,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,4.,PRADIT THEEKAKUL,N/A,12 / 12,100.00,1 / 1,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,5.,NARUMOL NOI-AM,N/A,12 / 12,100.00,1 / 1,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,6.,CHAVALIT SETHAMETEEKUL,N/A,12 / 12,100.00,1 / 1,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,7.,THONGCHAI JIRA-ALONGKORN,N/A,11 / 12,91.67,1 / 1,
BDMS,2024,12,8,05/04/2024,No,Meeting Attendance of the Board of Directors,8.,ATT THONGTANG,N/A,11 / 12,91.67,1 / 1,
