Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BEC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BEC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BEC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI BOONNAMSIRI,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,RATANA MALEENONT,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,NIPA MALEENONT,N/A,13 / 14,92.86,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,AMPHORN MALEENONT,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,RATCHANEE NIPATAKUSOL,N/A,13 / 14,92.86,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRATHAN RANGSIMAPORN,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,MANIT BOONPRAKOB,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,MATTHEW KICHODHAN,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHANSAK FUANGFU,N/A,11 / 14,78.57,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,SOMPRASONG BOONYACHAI,N/A,13 / 14,92.86,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,TRACY ANN MALEENONT,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,SURIN KRITTAYAPHONGPHUN,N/A,14 / 14,100.00,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,TATCHAPOL POSHYANONDA,N/A,13 / 14,92.86,Yes,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Audit Committee,1.,SOMCHAI BOONNAMSIRI,N/A,9 / 9,100.00,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PRATHAN RANGSIMAPORN,N/A,9 / 9,100.00,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Audit Committee,3.,MANIT BOONPRAKOB,N/A,9 / 9,100.00,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Executive Committee,1.,RATANA MALEENONT,N/A,N/A,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Executive Committee,2.,AMPHORN MALEENONT,N/A,N/A,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Executive Committee,3.,RATCHANEE NIPATAKUSOL,N/A,N/A,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Executive Committee,4.,SURIN KRITTAYAPHONGPHUN,N/A,N/A,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Audit and Risk Committee,1.,SOMCHAI BOONNAMSIRI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Audit and Risk Committee,2.,PRATHAN RANGSIMAPORN,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Audit and Risk Committee,3.,MANIT BOONPRAKOB,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRATHAN RANGSIMAPORN,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,MANIT BOONPRAKOB,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,RATANA MALEENONT,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,SOMPRASONG BOONYACHAI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,RATCHANEE NIPATAKUSOL,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,TRACY ANN MALEENONT,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,1.,SURIN KRITTAYAPHONGPHUN,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,2.,CHARKRIT DIREKWATTANACHAI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,3.,CHANANYA JAISIN,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,4.,PIRIYADIT CHOOPHUNGART,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,5.,SUBANDIT SUWANNOP,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,6.,AKARAPHOL WEERAWONG,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,7.,APICHA HONGHIRUNRUANG,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,8.,SARINTHIP JARUNSATHIANCHAI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,9.,SOMRAK NARONGWICHAI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Sustainabiity Development Committee,10.,AKIRAKORN I-KITISIRI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SURIN KRITTAYAPHONGPHUN,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,2.,CHARKRIT DIREKWATTANACHAI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PIRIYADIT CHOOPHUNGART,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,4.,SARINTHIP JARUNSATHIANCHAI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,5.,CHANANYA JAISIN,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,6.,SOMRAK NARONGWICHAI,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,7.,SUBANDIT SUWANNOP,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,8.,AKARAPHOL WEERAWONG,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,9.,APICHA HONGHIRUNRUANG,N/A,0 / 0,N/A,,
BEC,2022,14,9,22/04/2022,No,Meeting Attendance of Risk Management Committee,10.,AKIRAKORN I-KITISIRI,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI BOONNAMSIRI,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,PRATHAN RANGSIMAPORN,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,RATCHANEE NIPATAKUSOL,N/A,13 / 14,92.86,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,AMPHORN MALEENONT,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,NIPA MALEENONT,N/A,13 / 14,92.86,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,RATANA MALEENONT,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,MANIT BOONPRAKOB,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,MATTHEW KICHODHAN,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHANSAK FUANGFU,N/A,11 / 14,78.57,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,10.,SOMPRASONG BOONYACHAI,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,11.,TRACY ANN MALEENONT,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,12.,TATCHAPOL POSHYANONDA,N/A,14 / 14,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,13.,PIYAWADEE MALEENONT,N/A,0 / 0,N/A,No,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of the Board of Directors,14.,SURIN KRITTAYAPHONGPHUN,03/11/2023,12 / 12,100.00,Yes,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Audit Committee,1.,SOMCHAI BOONNAMSIRI,N/A,9 / 9,100.00,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Audit Committee,2.,MANIT BOONPRAKOB,N/A,9 / 9,100.00,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Audit Committee,3.,PRATHAN RANGSIMAPORN,N/A,9 / 9,100.00,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Executive Committee,1.,RATANA MALEENONT,N/A,N/A,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Executive Committee,2.,AMPHORN MALEENONT,N/A,N/A,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Executive Committee,3.,RATCHANEE NIPATAKUSOL,N/A,N/A,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Executive Committee,4.,PIYAWADEE MALEENONT,N/A,N/A,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Executive Committee,5.,TRACY ANN MALEENONT,N/A,N/A,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Executive Committee,6.,SURIN KRITTAYAPHONGPHUN,03/11/2023,N/A,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRATHAN RANGSIMAPORN,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,RATANA MALEENONT,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,MANIT BOONPRAKOB,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Corporate Governance Committee,1.,SOMPRASONG BOONYACHAI,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Corporate Governance Committee,2.,RATCHANEE NIPATAKUSOL,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Corporate Governance Committee,3.,TRACY ANN MALEENONT,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Audit and Risk Committee,1.,SOMCHAI BOONNAMSIRI,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Audit and Risk Committee,2.,PRATHAN RANGSIMAPORN,N/A,0 / 0,N/A,,
BEC,2023,14,9,28/04/2023,No,Meeting Attendance of Audit and Risk Committee,3.,MANIT BOONPRAKOB,N/A,0 / 0,N/A,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI BOONNAMSIRI,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,2.,RATANA MALEENONT,N/A,9 / 11,81.82,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,3.,NIPA MALEENONT,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,4.,AMPHORN MALEENONT,N/A,10 / 11,90.91,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,5.,RATCHANEE NIPATAKUSOL,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,6.,PRATHAN RANGSIMAPORN,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,7.,MANIT BOONPRAKOB,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,8.,CHANSAK FUANGFU,N/A,9 / 11,81.82,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,9.,SOMPRASONG BOONYACHAI,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,10.,TRACY ANN MALEENONT,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,11.,TATCHAPOL POSHYANONDA,N/A,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,12.,PIYAWADEE MALEENONT,N/A,7 / 9,77.78,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,13.,Sudjit Divari,N/A,0 / 0,N/A,0 / 0,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of the Board of Directors,14.,Matthew Kichodhan,23/01/2025,11 / 11,100.00,1 / 1,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Audit Committee,1.,SOMCHAI BOONNAMSIRI,N/A,10 / 10,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Audit Committee,2.,PRATHAN RANGSIMAPORN,N/A,10 / 10,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Audit Committee,3.,MANIT BOONPRAKOB,N/A,10 / 10,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Executive Committee,1.,SOMPRASONG BOONYACHAI,N/A,12 / 12,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Executive Committee,2.,RATANA MALEENONT,N/A,12 / 12,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Executive Committee,3.,AMPHORN MALEENONT,N/A,12 / 12,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Executive Committee,4.,RATCHANEE NIPATAKUSOL,N/A,12 / 12,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Executive Committee,5.,PIYAWADEE MALEENONT,N/A,12 / 12,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Executive Committee,6.,TRACY ANN MALEENONT,N/A,12 / 12,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRATHAN RANGSIMAPORN,N/A,3 / 3,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,RATANA MALEENONT,N/A,3 / 3,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,MANIT BOONPRAKOB,N/A,3 / 3,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Corporate Governance Committee,1.,SOMPRASONG BOONYACHAI,N/A,2 / 2,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Corporate Governance Committee,2.,RATCHANEE NIPATAKUSOL,N/A,2 / 2,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Corporate Governance Committee,3.,TRACY ANN MALEENONT,N/A,2 / 2,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Audit and Risk Committee,1.,SOMCHAI BOONNAMSIRI,N/A,10 / 10,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Audit and Risk Committee,2.,PRATHAN RANGSIMAPORN,N/A,10 / 10,100.00,,
BEC,2024,11,10,26/04/2024,No,Meeting Attendance of Audit and Risk Committee,3.,MANIT BOONPRAKOB,N/A,10 / 10,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI BOONNAMSIRI,N/A,10 / 10,100.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,RATANA MALEENONT,N/A,9 / 10,90.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,NIPA MALEENONT,N/A,9 / 10,90.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,AMPHORN MALEENONT,N/A,8 / 10,80.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,RATCHANEE NIPATAKUSOL,N/A,10 / 10,100.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,PRATHAN RANGSIMAPORN,N/A,10 / 10,100.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,MANIT BOONPRAKOB,N/A,10 / 10,100.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,CHANSAK FUANGFU,N/A,9 / 10,90.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,SOMPRASONG BOONYACHAI,N/A,10 / 10,100.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,TRACY ANN MALEENONT,N/A,10 / 10,100.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,11.,TATCHAPOL POSHYANONDA,N/A,9 / 10,90.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,12.,PIYAWADEE MALEENONT,N/A,6 / 10,60.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,13.,SUDJIT DIVARI,N/A,10 / 10,100.00,1 / 1,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,14.,MATTHEW KICHODHAN,23/01/2025,0 / 0,N/A,0 / 0,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,SOMCHAI BOONNAMSIRI,N/A,7 / 7,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,PRATHAN RANGSIMAPORN,N/A,7 / 7,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,MANIT BOONPRAKOB,N/A,7 / 7,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SOMPRASONG BOONYACHAI,N/A,11 / 11,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,RATANA MALEENONT,N/A,11 / 11,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,AMPHORN MALEENONT,N/A,9 / 11,81.82,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,RATCHANEE NIPATAKUSOL,N/A,11 / 11,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,PIYAWADEE MALEENONT,N/A,8 / 11,72.73,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,6.,TRACY ANN MALEENONT,N/A,11 / 11,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRATHAN RANGSIMAPORN,N/A,3 / 3,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,RATANA MALEENONT,N/A,3 / 3,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,3.,MANIT BOONPRAKOB,N/A,3 / 3,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance Committee,1.,SOMPRASONG BOONYACHAI,N/A,2 / 2,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance Committee,2.,RATCHANEE NIPATAKUSOL,N/A,2 / 2,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance Committee,3.,TRACY ANN MALEENONT,N/A,2 / 2,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit and Risk Committee,1.,SOMCHAI BOONNAMSIRI,N/A,7 / 7,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit and Risk Committee,2.,PRATHAN RANGSIMAPORN,N/A,7 / 7,100.00,,
BEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit and Risk Committee,3.,MANIT BOONPRAKOB,N/A,7 / 7,100.00,,
BEC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
BEC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
BEC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
