Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOPHAVADEE UTTAMOBOL,N/A,4 / 4,100.00,Yes,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHONG TOH,N/A,4 / 4,100.00,Yes,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,PRIN CHIRATHIVAT,N/A,4 / 4,100.00,No,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,BERNARD CHARNWUT CHAN,N/A,3 / 4,75.00,No,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,LINDA LISAHAPANYA,N/A,4 / 4,100.00,Yes,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,ANON VANGVASU,N/A,4 / 4,100.00,Yes,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHANOND SOPHONPANICH,N/A,4 / 4,100.00,No,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,MARK ELLIOTT SCHATTEN,N/A,4 / 4,100.00,Yes,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHAI SOPHONPANICH,27/04/2022,N/A,N/A,N/A,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHANVIT TANPHIPHAT,27/04/2022,N/A,N/A,N/A,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,ARUNI KETTRATAD,27/04/2022,N/A,N/A,N/A,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SOPHAVADEE UTTAMOBOL,31/12/2022,N/A,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,PRIN CHIRATHIVAT,31/12/2022,N/A,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,MARK ELLIOTT SCHATTEN,31/12/2022,N/A,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,4.,CHANOND SOPHONPANICH,31/12/2022,N/A,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Executive Committee,1.,LINDA LISAHAPANYA,N/A,N/A,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SOPHAVADEE UTTAMOBOL,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,MARK ELLIOTT SCHATTEN,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,PRIN CHIRATHIVAT,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,4.,CHANOND SOPHONPANICH,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,ARUNI KETTRATAD,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHANVIT TANPHIPHAT,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHONG TOH,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Investment Committee,1.,CHAI SOPHONPANICH,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Investment Committee,2.,LINDA LISAHAPANYA,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Investment Committee,3.,CHONG TOH,N/A,0 / 0,N/A,,
BH,2022,4,4,27/04/2022,No,Meeting Attendance of Investment Committee,4.,BERNARD CHARNWUT CHAN,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHAI SOPHONPANICH,N/A,4 / 4,100.00,Yes,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHANVIT TANPHIPHAT,N/A,4 / 4,100.00,Yes,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,ARUNI KETTRATAD,N/A,4 / 4,100.00,Yes,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,PRIN CHIRATHIVAT,N/A,4 / 4,100.00,Yes,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,LINDA LISAHAPANYA,N/A,4 / 4,100.00,Yes,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHANOND SOPHONPANICH,N/A,4 / 4,100.00,Yes,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,MARK ELLIOTT SCHATTEN,N/A,4 / 4,100.00,Yes,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,SOPHAVADEE UTTAMOBOL,26/04/2023,N/A,N/A,N/A,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,9.,BERNARD CHARNWUT CHAN,26/04/2023,N/A,N/A,N/A,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,10.,ANON VANGVASU,26/04/2023,N/A,N/A,N/A,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of the Board of Directors,11.,CHONG TOH,26/04/2023,N/A,N/A,N/A,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,SOPHAVADEE UTTAMOBOL,N/A,4 / 4,100.00,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,PRIN CHIRATHIVAT,N/A,4 / 4,100.00,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,MARK ELLIOTT SCHATTEN,N/A,4 / 4,100.00,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,4.,CHANOND SOPHONPANICH,N/A,4 / 4,100.00,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,LINDA LISAHAPANYA,N/A,N/A,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,SOPHAVADEE UTTAMOBOL,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,MARK ELLIOTT SCHATTEN,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,PRIN CHIRATHIVAT,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Audit Committee,4.,CHANOND SOPHONPANICH,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,ARUNI KETTRATAD,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHANVIT TANPHIPHAT,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHONG TOH,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Investment Committee,1.,CHAI SOPHONPANICH,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Investment Committee,2.,LINDA LISAHAPANYA,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Investment Committee,3.,CHONG TOH,N/A,0 / 0,N/A,,
BH,2023,4,4,26/04/2023,No,Meeting Attendance of Investment Committee,4.,BERNARD CHARNWUT CHAN,N/A,0 / 0,N/A,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,CHAI SOPHONPANICH,N/A,3 / 4,75.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHANVIT TANPHIPHAT,N/A,3 / 4,75.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,SOPHAVADEE UTTAMOBOL,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,CHONG TOH,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,ARUNI KETTRATAD,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,PRIN CHIRATHIVAT,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,BERNARD CHARNWUT CHAN,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,8.,LINDA LISAHAPANYA,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,9.,ANON VANGVASU,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,10.,MARK ELLIOTT SCHATTEN,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,11.,CHANOND SOPHONPANICH,N/A,4 / 4,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of the Board of Directors,12.,CHANIDA SOPHONPANICH,N/A,2 / 2,100.00,1 / 1,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Audit Committee,1.,SOPHAVADEE UTTAMOBOL,N/A,4 / 4,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Audit Committee,2.,PRIN CHIRATHIVAT,N/A,4 / 4,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Audit Committee,3.,MARK ELLIOTT SCHATTEN,N/A,4 / 4,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Audit Committee,4.,CHANOND SOPHONPANICH,N/A,4 / 4,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Executive Committee,1.,LINDA LISAHAPANYA,N/A,0 / 0,N/A,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,ARUNI KETTRATAD,N/A,2 / 2,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHANVIT TANPHIPHAT,N/A,2 / 2,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHONG TOH,N/A,2 / 2,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Investment Committee,1.,CHAI SOPHONPANICH,N/A,1 / 2,50.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Investment Committee,2.,LINDA LISAHAPANYA,N/A,2 / 2,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Investment Committee,3.,CHONG TOH,N/A,2 / 2,100.00,,
BH,2024,4,4,24/04/2024,No,Meeting Attendance of Investment Committee,4.,BERNARD CHARNWUT CHAN,N/A,2 / 2,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,CHAI SOPHONPANICH,N/A,3 / 4,75.00,0 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,CHANVIT TANPHIPHAT,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,SOPHAVADEE UTTAMOBOL,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,CHONG TOH,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,ARUNI KETTRATAD,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,PRIN CHIRATHIVAT,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,BERNARD CHARNWUT CHAN,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,LINDA LISAHAPANYA,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,MARK ELLIOTT SCHATTEN,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,CHANOND SOPHONPANICH,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,11.,CHANIDA SOPHONPANICH,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,12.,ANON VANGVASU,N/A,4 / 4,100.00,1 / 1,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,SOPHAVADEE UTTAMOBOL,N/A,4 / 4,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,PRIN CHIRATHIVAT,N/A,4 / 4,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,MARK ELLIOTT SCHATTEN,N/A,4 / 4,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,4.,CHANOND SOPHONPANICH,N/A,4 / 4,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,LINDA LISAHAPANYA,N/A,12 / 12,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,ARUNI KETTRATAD,N/A,2 / 2,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHANVIT TANPHIPHAT,N/A,2 / 2,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHONG TOH,N/A,2 / 2,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,4.,ANON VANGVASU,N/A,0 / 0,N/A,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Investment Committee,1.,CHAI SOPHONPANICH,N/A,2 / 2,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Investment Committee,2.,LINDA LISAHAPANYA,N/A,2 / 2,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Investment Committee,3.,CHONG TOH,N/A,2 / 2,100.00,,
BH,2025,N/A,N/A,N/A,No,Meeting Attendance of Investment Committee,4.,BERNARD CHARNWUT CHAN,N/A,2 / 2,100.00,,
BH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
BH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
BH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
