Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BLAND,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BLAND,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BLAND,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BLAND,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BLAND,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BLAND,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,1.,SUI HUNG KANJANAPAS,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,2.,SHUI PANG KANJANAPAS,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,3.,BURIN WONGSANGUAN,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,4.,SUPAVAT SAICHEUA,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,5.,SIRIWAT LIKITNURUK,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,6.,PANYA BOONYAPIWAT,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,7.,PRASAN HOKCHOON,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of the Board of Directors,8.,JAKAPAN PANOMOUPPATHAM,N/A,5 / 5,100.00,Yes,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Audit Committee,1.,PRASAN HOKCHOON,N/A,4 / 4,100.00,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Audit Committee,2.,SUPAVAT SAICHEUA,N/A,4 / 4,100.00,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Audit Committee,3.,SIRIWAT LIKITNURUK,N/A,4 / 4,100.00,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Executive Committee,1.,SUI HUNG KANJANAPAS,N/A,N/A,N/A,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Executive Committee,2.,SHUI PANG KANJANAPAS,N/A,N/A,N/A,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Risk Management Committee,1.,JAKAPAN PANOMOUPPATHAM,N/A,0 / 0,N/A,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Risk Management Committee,2.,SHUI PANG KANJANAPAS,N/A,0 / 0,N/A,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Risk Management Committee,3.,SUPAVAT SAICHEUA,N/A,0 / 0,N/A,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Nomination and Remunerations Committee,1.,SUI HUNG KANJANAPAS,N/A,0 / 0,N/A,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Nomination and Remunerations Committee,2.,SHUI PANG KANJANAPAS,N/A,0 / 0,N/A,,
BLAND,2023,5,4,26/07/2022,No,Meeting Attendance of Nomination and Remunerations Committee,3.,JAKAPAN PANOMOUPPATHAM,N/A,0 / 0,N/A,,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SUI HUNG KANJANAPAS,N/A,5 / 5,100.00,N/A,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,SHUI PANG KANJANAPAS,N/A,5 / 5,100.00,N/A,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,BURIN WONGSANGUAN,N/A,4 / 5,80.00,N/A,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,SUPAVAT SAICHEUA,N/A,5 / 5,100.00,N/A,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,SIRIWAT LIKITNURUK,N/A,5 / 5,100.00,N/A,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,PANYA BOONYAPIWAT,N/A,5 / 5,100.00,N/A,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,PRASAN HOKCHOON,N/A,5 / 5,100.00,N/A,
BLAND,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,JAKAPAN PANOMOUPPATHAM,N/A,5 / 5,100.00,N/A,
