Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BLA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BLA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BLA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,SIRI GANJARERNDEE,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAVITRI RAMYARUPA,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,PRAPAIVAN LIMSONG,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUNTHORN ARUNANONDCHAI,N/A,6 / 7,85.71,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,PRAPHANT ASAVA-AREE,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,YUICHI HONDA,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHONE SOPHONPANICH,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHOLLADA SOPHONPANICH,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,VETIT ASSAWAMANGCLA,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,KOMKAI THUSARANON,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,VARAWAN VECHASUT,N/A,7 / 7,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,12.,CHAI SOPHONPANICH,N/A,6 / 7,85.71,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,13.,TOMOHIRO YAO,N/A,5 / 5,100.00,Yes,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,14.,TOMOHISA KAWASAKI,N/A,5 / 5,100.00,No,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,15.,KOJI ICHIBA,25/03/2022,2 / 2,100.00,No,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of the Board of Directors,16.,KAZUYUKI SAIGO,27/04/2022,N/A,N/A,N/A,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SUNTHORN ARUNANONDCHAI,N/A,6 / 6,100.00,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Audit Committee,2.,PRAPHANT ASAVA-AREE,N/A,6 / 6,100.00,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Audit Committee,3.,VARAWAN VECHASUT,N/A,6 / 6,100.00,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,PRAPHANT ASAVA-AREE,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,KOMKAI THUSARANON,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,YUICHI HONDA,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,4.,CHONE SOPHONPANICH,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,5.,CHOLLADA SOPHONPANICH,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,6.,Jaruwan Limkhunthammo,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Risk Management Committee,7.,Oranuch Samranrit,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIRI GANJARERNDEE,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHAI SOPHONPANICH,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,TOMOHIRO YAO,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Investment Committee,1.,SIRI GANJARERNDEE,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Investment Committee,2.,SAVITRI RAMYARUPA,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Investment Committee,3.,CHONE SOPHONPANICH,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Investment Committee,4.,CHOLLADA SOPHONPANICH,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,KOMKAI THUSARANON,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,PRAPAIVAN LIMSONG,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,YUICHI HONDA,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,VETIT ASSAWAMANGCLA,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,Anucha Pingkarawat,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Performance Assessment and Evaluation Committee,1.,SIRI GANJARERNDEE,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Performance Assessment and Evaluation Committee,2.,SUNTHORN ARUNANONDCHAI,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of Performance Assessment and Evaluation Committee,3.,KOMKAI THUSARANON,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of IT Steering Committee,1.,VARAWAN VECHASUT,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of IT Steering Committee,2.,SAVITRI RAMYARUPA,N/A,0 / 0,N/A,,
BLA,2022,7,6,27/04/2022,No,Meeting Attendance of IT Steering Committee,3.,VETIT ASSAWAMANGCLA,N/A,0 / 0,N/A,,
