Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BLESS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BLESS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BLESS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,SITA DIVARI,N/A,4 / 5,80.00,Yes,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,CHAIWAT KOVITCHINDACHAI,N/A,5 / 5,100.00,Yes,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,VIKIT KACHONNARONGVANICH,N/A,5 / 5,100.00,Yes,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PHUSIT WONGLORSAICHON,N/A,5 / 5,100.00,Yes,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,NATTHAPHONG SUKCHAROENKRAISRI,N/A,5 / 5,100.00,Yes,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,NIPHA APHIRATTANARUNGRUANG,N/A,5 / 5,100.00,Yes,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,YODPHOT WONGRUKMIT,N/A,5 / 5,100.00,Yes,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Audit Committee,1.,VIKIT KACHONNARONGVANICH,N/A,4 / 4,100.00,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PHUSIT WONGLORSAICHON,N/A,4 / 4,100.00,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Audit Committee,3.,YODPHOT WONGRUKMIT,N/A,4 / 4,100.00,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,1.,CHAIWAT KOVITCHINDACHAI,N/A,N/A,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,2.,NIPHA APHIRATTANARUNGRUANG,N/A,N/A,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Namchai Vanapanubet,N/A,N/A,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,4.,Tarin Bovonvanitkul,N/A,N/A,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,5.,Aruch Changthong,N/A,N/A,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,YODPHOT WONGRUKMIT,N/A,0 / 0,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,VIKIT KACHONNARONGVANICH,N/A,0 / 0,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,PHUSIT WONGLORSAICHON,N/A,0 / 0,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,4.,NIPHA APHIRATTANARUNGRUANG,N/A,0 / 0,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,5.,CHAIWAT KOVITCHINDACHAI,N/A,0 / 0,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,PHUSIT WONGLORSAICHON,N/A,0 / 0,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,NIPHA APHIRATTANARUNGRUANG,N/A,0 / 0,N/A,,
BLESS,2022,5,4,28/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,NATTHAPHONG SUKCHAROENKRAISRI,N/A,0 / 0,N/A,,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,SITA DIVARI,N/A,4 / 5,80.00,Yes,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,CHAIWAT KOVITCHINDACHAI,N/A,5 / 5,100.00,Yes,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,VIKIT KACHONNARONGVANICH,N/A,5 / 5,100.00,Yes,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,PHUSIT WONGLORSAICHON,N/A,5 / 5,100.00,Yes,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,NATTHAPHONG SUKCHAROENKRAISRI,N/A,5 / 5,100.00,Yes,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,NIPHA APHIRATTANARUNGRUANG,N/A,5 / 5,100.00,Yes,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of the Board of Directors,7.,YODPHOT WONGRUKMIT,N/A,5 / 5,100.00,Yes,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of Audit Committee,1.,VIKIT KACHONNARONGVANICH,N/A,4 / 4,100.00,,
BLESS,2023,5,4,26/04/2024,Yes,Meeting Attendance of Audit Committee,2.,PHUSIT WONGLORSAICHON,N/A,4 / 4,100.00,,
