Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BPP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BPP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BPP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,1.,NARIS CHAIYASOOT,N/A,12 / 12,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHANIN VONGKUSOLKIT,N/A,11 / 12,91.67,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,3.,VORAVUDHI LINANANDA,N/A,12 / 12,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,4.,SOMRUEDEE CHAIMONGKOL,N/A,12 / 12,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,5.,METEE AUAPINYAKUL,N/A,12 / 12,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,6.,YOKPORN TANTISAWETRAT,N/A,12 / 12,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,7.,BUNDHIT EUA-ARPORN,N/A,11 / 12,91.67,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,8.,KIRANA LIMPAPHAYOM,N/A,12 / 12,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,9.,PATCHANITA THAMYONGKIT,N/A,12 / 12,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,10.,KIJJA SRIPATTHANGKURA,N/A,9 / 9,100.00,No,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of the Board of Directors,11.,RAWI CORSIRI,02/04/2022,3 / 3,100.00,Yes,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Audit Committee,1.,YOKPORN TANTISAWETRAT,N/A,8 / 8,100.00,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Audit Committee,2.,BUNDHIT EUA-ARPORN,N/A,8 / 8,100.00,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Audit Committee,3.,NARIS CHAIYASOOT,N/A,8 / 8,100.00,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Audit Committee,4.,PATCHANITA THAMYONGKIT,N/A,8 / 8,100.00,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Compensation Committee,1.,BUNDHIT EUA-ARPORN,N/A,0 / 0,N/A,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Compensation Committee,2.,KIJJA SRIPATTHANGKURA,N/A,0 / 0,N/A,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Compensation Committee,3.,METEE AUAPINYAKUL,N/A,0 / 0,N/A,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Compensation Committee,4.,SOMRUEDEE CHAIMONGKOL,N/A,0 / 0,N/A,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Corporate Governance and Nomination Committee,1.,NARIS CHAIYASOOT,N/A,0 / 0,N/A,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Corporate Governance and Nomination Committee,2.,CHANIN VONGKUSOLKIT,N/A,0 / 0,N/A,,
BPP,2022,12,8,01/04/2022,No,Meeting Attendance of Corporate Governance and Nomination Committee,3.,PATCHANITA THAMYONGKIT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,1.,NARIS CHAIYASOOT,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHANIN VONGKUSOLKIT,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,3.,SOMRUEDEE CHAIMONGKOL,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,4.,VORAVUDHI LINANANDA,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,5.,METEE AUAPINYAKUL,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,6.,YOKPORN TANTISAWETRAT,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,7.,BUNDHIT EUA-ARPORN,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,8.,KIRANA LIMPAPHAYOM,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,9.,PATCHANITA THAMYONGKIT,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of the Board of Directors,10.,KIJJA SRIPATTHANGKURA,N/A,12 / 12,100.00,Yes,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,1.,YOKPORN TANTISAWETRAT,N/A,10 / 10,100.00,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,2.,NARIS CHAIYASOOT,N/A,9 / 10,90.00,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,3.,BUNDHIT EUA-ARPORN,N/A,10 / 10,100.00,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,4.,PATCHANITA THAMYONGKIT,N/A,10 / 10,100.00,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,1.,YOKPORN TANTISAWETRAT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,2.,NARIS CHAIYASOOT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,3.,BUNDHIT EUA-ARPORN,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Audit Committee,4.,PATCHANITA THAMYONGKIT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Compensation Committee,1.,BUNDHIT EUA-ARPORN,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Compensation Committee,2.,KIJJA SRIPATTHANGKURA,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Compensation Committee,3.,METEE AUAPINYAKUL,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Compensation Committee,4.,SOMRUEDEE CHAIMONGKOL,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Corporate Governance and Nomination Committee,1.,NARIS CHAIYASOOT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Corporate Governance and Nomination Committee,2.,PATCHANITA THAMYONGKIT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,Meeting Attendance of Corporate Governance and Nomination Committee,3.,CHANIN VONGKUSOLKIT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,"Meeting Attendance of Environment, Social and Governance (ESG) Committee",1.,PATCHANITA THAMYONGKIT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,"Meeting Attendance of Environment, Social and Governance (ESG) Committee",2.,YOKPORN TANTISAWETRAT,N/A,0 / 0,N/A,,
BPP,2023,12,10,03/04/2023,No,"Meeting Attendance of Environment, Social and Governance (ESG) Committee",3.,KIJJA SRIPATTHANGKURA,N/A,0 / 0,N/A,,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,1.,NARIS CHAIYASOOT,N/A,12 / 12,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHANIN VONGKUSOLKIT,N/A,11 / 12,91.67,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,3.,VORAVUDHI LINANANDA,N/A,12 / 12,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,4.,SOMRUEDEE CHAIMONGKOL,N/A,12 / 12,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,5.,METEE AUAPINYAKUL,N/A,12 / 12,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,6.,YOKPORN TANTISAWETRAT,N/A,11 / 12,91.67,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,7.,KIRANA LIMPAPHAYOM,N/A,12 / 12,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,8.,PATCHANITA THAMYONGKIT,N/A,12 / 12,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,9.,KIJJA SRIPATTHANGKURA,N/A,12 / 12,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,10.,ISSARA NIROPAS,N/A,9 / 9,100.00,0 / 0,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,11.,SINON VONGKUSOLKIT,N/A,9 / 9,100.00,0 / 0,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of the Board of Directors,12.,BUNDHIT EUA-ARPORN,02/04/2024,3 / 3,100.00,1 / 1,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of Audit Committee,1.,YOKPORN TANTISAWETRAT,N/A,12 / 12,100.00,,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of Audit Committee,2.,NARIS CHAIYASOOT,N/A,12 / 12,100.00,,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of Audit Committee,3.,PATCHANITA THAMYONGKIT,N/A,12 / 12,100.00,,
BPP,2024,12,12,01/04/2024,No,Meeting Attendance of Audit Committee,4.,BUNDHIT EUA-ARPORN,02/04/2024,3 / 3,100.00,,
