Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BROCK,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BROCK,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BROCK,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BROCK,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BROCK,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BROCK,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of the Board of Directors,1.,VIRAT CHINPRAPINPORN,N/A,N/A,N/A,N/A,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of the Board of Directors,2.,NAOWANIT SILAPRARAT,N/A,N/A,N/A,N/A,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of the Board of Directors,3.,NAOWARAT SUTHAMJARIYA,N/A,N/A,N/A,N/A,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of the Board of Directors,4.,WANCHAI MEKASUT,N/A,N/A,N/A,N/A,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of the Board of Directors,5.,PREECHA JANTHANAVIJIT,N/A,N/A,N/A,N/A,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRASAN THUMSANONG,N/A,N/A,N/A,N/A,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of Audit Committee,1.,WANCHAI MEKASUT,N/A,N/A,N/A,,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of Audit Committee,2.,PREECHA JANTHANAVIJIT,N/A,N/A,N/A,,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of Audit Committee,3.,PRASAN THUMSANONG,N/A,N/A,N/A,,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of Executive Committee,1.,VIRAT CHINPRAPINPORN,N/A,N/A,N/A,,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of Executive Committee,2.,NAOWANIT SILAPRARAT,N/A,N/A,N/A,,
BROCK,2023,4,N/A,05/04/2023,No,Meeting Attendance of Executive Committee,3.,Phisitsak Premprichayan,N/A,N/A,N/A,,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,1.,VIRAT CHINPRAPINPORN,N/A,5 / 5,100.00,1 / 1,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,2.,NAOWANIT SILAPRARAT,N/A,5 / 5,100.00,1 / 1,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,3.,NAOWARAT SUTHAMJARIYA,N/A,5 / 5,100.00,1 / 1,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,4.,WANCHAI MEKASUT,N/A,5 / 5,100.00,1 / 1,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,5.,PRASAN THUMSANONG,N/A,5 / 5,100.00,1 / 1,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,6.,NAPAT CHINPRAPINPORN,N/A,2 / 2,100.00,1 / 1,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,7.,PUNTIP YODVISESBORVON,N/A,2 / 2,100.00,0 / 0,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of the Board of Directors,8.,PREECHA JANTHANAVIJIT,15/05/2024,2 / 2,100.00,1 / 1,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of Audit Committee,1.,WANCHAI MEKASUT,N/A,4 / 4,100.00,,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of Audit Committee,2.,PRASAN THUMSANONG,N/A,4 / 4,100.00,,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of Audit Committee,3.,PUNTIP YODVISESBORVON,N/A,2 / 2,100.00,,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of Audit Committee,4.,PREECHA JANTHANAVIJIT,15/05/2024,2 / 2,100.00,,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of Executive Committee,1.,VIRAT CHINPRAPINPORN,N/A,17 / 17,100.00,,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of Executive Committee,2.,NAOWANIT SILAPRARAT,N/A,19 / 19,100.00,,
BROCK,2024,5,4,09/04/2024,No,Meeting Attendance of Executive Committee,3.,Phisitsak Premprichayan,N/A,19 / 19,100.00,,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,VIRAT CHINPRAPINPORN,N/A,4 / 4,100.00,1 / 1,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,NAOWANIT SILAPRARAT,N/A,4 / 4,100.00,1 / 1,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,NAOWARAT SUTHAMJARIYA,N/A,4 / 4,100.00,1 / 1,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,WANCHAI MEKASUT,N/A,4 / 4,100.00,1 / 1,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,PRASAN THUMSANONG,N/A,4 / 4,100.00,1 / 1,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,NAPAT CHINPRAPINPORN,N/A,4 / 4,100.00,1 / 1,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,PUNTIP YODVISESBORVORN,N/A,4 / 4,100.00,1 / 1,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,WANCHAI MEKASUT,N/A,4 / 4,100.00,,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,PRASAN THUMSANONG,N/A,4 / 4,100.00,,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,PUNTIP YODVISESBORVORN,N/A,4 / 4,100.00,,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,VIRAT CHINPRAPINPORN,N/A,30 / 30,100.00,,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,NAOWANIT SILAPRARAT,N/A,30 / 30,100.00,,
BROCK,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,Phisitsak Premprichayan,N/A,30 / 30,100.00,,
BROCK,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
BROCK,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
BROCK,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
