Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BRR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BRR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BRR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,SIRICHAI SOMBUTSIRI,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,ANANT TANGTONGWECHAKIT,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHITTIMA TANGTRONGWECHAKIT,N/A,8 / 9,88.89,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,SARIT TANGTRONGWECHAKIJ,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,ADISAK TANGTRONGWEACHAKIT,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,JIRAWAN PONGPICHITKUL,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,WANPHEN PUNYANIRAN,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,SEENUAL TASANAPANT,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,SCHITT LAOWATTANA,N/A,9 / 9,100.00,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,PORNTIP SOOKATUP,N/A,7 / 9,77.78,Yes,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,WEECHADCHADA YONGSUWANKUL,24/02/2022,0 / 9,0.00,No,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SCHITT LAOWATTANA,N/A,4 / 4,100.00,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,SEENUAL TASANAPANT,N/A,4 / 4,100.00,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,PORNTIP SOOKATUP,N/A,3 / 4,75.00,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Audit Committee,4.,WEECHADCHADA YONGSUWANKUL,24/02/2022,0 / 0,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,1.,ANANT TANGTONGWECHAKIT,N/A,N/A,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,2.,JIRAWAN PONGPICHITKUL,N/A,N/A,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,3.,CHITTIMA TANGTRONGWECHAKIT,N/A,N/A,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,4.,SARIT TANGTRONGWECHAKIJ,N/A,N/A,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,5.,ADISAK TANGTRONGWEACHAKIT,N/A,N/A,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of  Corporate Governance and Sustainability Committee,1.,SEENUAL TASANAPANT,N/A,0 / 0,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of  Corporate Governance and Sustainability Committee,2.,SCHITT LAOWATTANA,N/A,0 / 0,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of  Corporate Governance and Sustainability Committee,3.,ADISAK TANGTRONGWEACHAKIT,N/A,0 / 0,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SEENUAL TASANAPANT,N/A,0 / 0,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SCHITT LAOWATTANA,N/A,0 / 0,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ADISAK TANGTRONGWEACHAKIT,N/A,0 / 0,N/A,,
BRR,2022,9,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,ANANT TANGTONGWECHAKIT,N/A,0 / 0,N/A,,
