Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BSBM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BSBM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BSBM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHARIN HANSUEBSAI,N/A,12 / 12,100.00,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,JIN-LONG FANG,N/A,0 / 12,0.00,No,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,YEH-WEN LEE,N/A,12 / 12,100.00,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,LEE CHIEN - HUNG,N/A,3 / 12,25.00,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,WIN VIRIYAPRAPAIKIT,N/A,10 / 12,83.33,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,KOMKRIS PRACHAKRIS,N/A,12 / 12,100.00,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,ANUWAT CHAIKITTIVANICH,N/A,11 / 12,91.67,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,TAWAT POLQUAMDEE,N/A,12 / 12,100.00,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,SURASAK RIANGKRUL,N/A,12 / 12,100.00,Yes,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Audit Committee,1.,KOMKRIS PRACHAKRIS,N/A,5 / 5,100.00,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Audit Committee,2.,TAWAT POLQUAMDEE,N/A,5 / 5,100.00,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Audit Committee,3.,SURASAK RIANGKRUL,N/A,2 / 2,100.00,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Audit Committee,4.,CHARIN HANSUEBSAI,22/08/2022,3 / 3,100.00,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,1.,TAWAT POLQUAMDEE,N/A,0 / 0,N/A,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,2.,KOMKRIS PRACHAKRIS,N/A,0 / 0,N/A,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,3.,ANUWAT CHAIKITTIVANICH,N/A,0 / 0,N/A,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of Risk Management Committee,4.,YEH-WEN LEE,N/A,0 / 0,N/A,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Nomination and Remuneration Committee,1.,SURASAK RIANGKRUL,N/A,0 / 0,N/A,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Nomination and Remuneration Committee,2.,KOMKRIS PRACHAKRIS,N/A,0 / 0,N/A,,
BSBM,2022,12,5,25/04/2022,No,Meeting Attendance of the Nomination and Remuneration Committee,3.,WIN VIRIYAPRAPAIKIT,N/A,0 / 0,N/A,,
BSBM,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHARIN HANSUEBSAI,N/A,12 / 12,100.00,Yes,
BSBM,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,JIN-LONG FANG,N/A,2 / 12,16.67,No,
BSBM,2023,12,5,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,YEH-WEN LEE,N/A,12 / 12,100.00,Yes,
