Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BTC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BTC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BTC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,NARONGCHAI AKRASANEE,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHAN BULAKUL,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,PUNNEE WORAWUTHICHONGSATHIT,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,ANAKE KAMOLNATE,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,KIRIN NARULA,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,PHONGCHAI SETHIWAN,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,VARUT BULAKUL,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMPONG PHAOENCHOKE,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,VARIT BULAKUL,N/A,7 / 7,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,SURONG BULAKUL,N/A,3 / 3,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,PETER WELDON,28/06/2022,4 / 4,100.00,Yes,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,SURONG BULAKUL,N/A,2 / 2,100.00,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PUNNEE WORAWUTHICHONGSATHIT,N/A,4 / 4,100.00,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,SOMPONG PHAOENCHOKE,N/A,4 / 4,100.00,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,4.,PETER WELDON,28/06/2022,2 / 2,100.00,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Compensation Committee,1.,PUNNEE WORAWUTHICHONGSATHIT,N/A,0 / 0,N/A,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Compensation Committee,2.,SURONG BULAKUL,N/A,0 / 0,N/A,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Compensation Committee,3.,SOMPONG PHAOENCHOKE,N/A,0 / 0,N/A,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Compensation Committee,4.,VARUT BULAKUL,N/A,0 / 0,N/A,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Nominating Committee,1.,PUNNEE WORAWUTHICHONGSATHIT,N/A,0 / 0,N/A,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Nominating Committee,2.,PHONGCHAI SETHIWAN,N/A,0 / 0,N/A,,
BTC,2022,7,4,22/04/2022,No,Meeting Attendance of Nominating Committee,3.,KIRIN NARULA,N/A,0 / 0,N/A,,
