Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
B,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
B,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
B,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,1.,SOMKID BOONTANOM,N/A,3 / 3,100.00,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,2.,SUTTIRAT LEESWADTRAKUL,N/A,3 / 3,100.00,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,3.,PRAPASS PIYAMONGKOL,N/A,3 / 3,100.00,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,4.,SMITH LEAMMANEE,N/A,3 / 3,100.00,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,5.,PAIROJ WAIWANIJCHAKIJ,N/A,3 / 3,100.00,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,6.,PANYA BOONYAPIWAT,N/A,3 / 3,100.00,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,7.,JAKKARAT LERTOPAS,N/A,3 / 3,100.00,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,8.,CHAYASINEE TIENTONG,N/A,1 / 3,33.33,No,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of the Board of Directors,9.,TEERABOON ARIYASUTHIWONG,31/08/2022,2 / 3,66.67,Yes,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Audit Committee,1.,PRAPASS PIYAMONGKOL,N/A,7 / 7,100.00,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Audit Committee,2.,SMITH LEAMMANEE,N/A,7 / 7,100.00,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Audit Committee,3.,CHAYASINEE TIENTONG,N/A,3 / 7,42.86,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Audit Committee,4.,TEERABOON ARIYASUTHIWONG,31/08/2022,4 / 7,57.14,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Executive Committee,1.,PANYA BOONYAPIWAT,N/A,N/A,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Executive Committee,2.,SUTTIRAT LEESWADTRAKUL,N/A,N/A,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Executive Committee,3.,PAIROJ WAIWANIJCHAKIJ,N/A,N/A,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Executive Committee,4.,Peeraya  Photiprasat,N/A,N/A,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Audit Committee,1.,PRAPASS PIYAMONGKOL,N/A,0 / 0,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Audit Committee,2.,SMITH LEAMMANEE,N/A,0 / 0,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Audit Committee,3.,CHAYASINEE TIENTONG,N/A,0 / 0,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,SUTTIRAT LEESWADTRAKUL,N/A,0 / 0,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,SMITH LEAMMANEE,N/A,0 / 0,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,JAKKARAT LERTOPAS,N/A,0 / 0,N/A,,
B,2022,3,7,17/05/2022,Yes,Meeting Attendance of Risk Management Committee,1.,PANYA BOONYAPIWAT,N/A,0 / 0,N/A,,
