Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CCET,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CCET,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CCET,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,SHENG-HSIUNG HSU,N/A,6 / 6,100.00,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHIEH-LI HSU,N/A,6 / 6,100.00,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,SHENG-CHIEH HSU,N/A,5 / 6,83.33,No,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,ALAN CHI YIM KAM,N/A,5 / 6,83.33,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,KHONGSIT CHOUKITCHAROEN,N/A,6 / 6,100.00,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,HANG MAN WILLIAM CHAO,N/A,6 / 6,100.00,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,THANASAK CHANYAPOON,N/A,6 / 6,100.00,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,TAI-CHANG CHIANG,N/A,6 / 6,100.00,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,WEI-CHANG CHEN,N/A,6 / 6,100.00,Yes,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,HUNG-MAO TIEN,N/A,6 / 6,100.00,No,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,11.,YEE-CHANG CHEN,N/A,4 / 4,100.00,No,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,12.,SHYH-YONG SHEN,29/04/2022,2 / 2,100.00,No,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,ALAN CHI YIM KAM,N/A,4 / 4,100.00,,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,HANG MAN WILLIAM CHAO,N/A,4 / 4,100.00,,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,THANASAK CHANYAPOON,N/A,4 / 4,100.00,,
CCET,2022,6,4,29/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,SHENG-HSIUNG HSU,N/A,4 / 4,100.00,No,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,CHIEH-LI HSU,N/A,4 / 4,100.00,Yes,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,SHENG-CHIEH HSU,N/A,3 / 4,75.00,No,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,ALAN CHI YIM KAM,N/A,4 / 4,100.00,Yes,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,KHONGSIT CHOUKITCHAROEN,N/A,4 / 4,100.00,Yes,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,HANG MAN WILLIAM CHAO,N/A,4 / 4,100.00,Yes,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,THANASAK CHANYAPOON,N/A,4 / 4,100.00,Yes,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,TAI-CHANG CHIANG,N/A,4 / 4,100.00,Yes,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,WEI-CHANG CHEN,N/A,4 / 4,100.00,Yes,
CCET,2023,4,4,28/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,HUNG-MAO TIEN,N/A,4 / 4,100.00,No,
