Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CEN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CEN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CEN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,VISIT ONGPIPATTANAKUL,N/A,6 / 6,100.00,No,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,THEERACHAI LEENABANCHONG,N/A,6 / 6,100.00,Yes,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,1 / 6,16.67,No,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,JAKKATHAN YOTHANAN,N/A,6 / 6,100.00,Yes,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,YANYONG WATTANAWONGPITAK,N/A,6 / 6,100.00,Yes,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,6 / 6,100.00,Yes,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,SULUCK PATTARATHAMMAS,02/08/2022,4 / 6,66.67,Yes,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHIRDSAK KUKIATTINUN,31/12/2022,6 / 6,100.00,Yes,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Audit Committee,1.,VISIT ONGPIPATTANAKUL,N/A,5 / 5,100.00,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Audit Committee,2.,YANYONG WATTANAWONGPITAK,N/A,5 / 5,100.00,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Audit Committee,3.,JAKKATHAN YOTHANAN,N/A,5 / 5,100.00,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Executive Committee,1.,THEERACHAI LEENABANCHONG,N/A,N/A,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Executive Committee,2.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,N/A,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Executive Committee,3.,CHIRDSAK KUKIATTINUN,31/12/2022,N/A,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Remuneration Committee,1.,VISIT ONGPIPATTANAKUL,N/A,0 / 0,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Remuneration Committee,2.,YANYONG WATTANAWONGPITAK,N/A,0 / 0,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Remuneration Committee,3.,JAKKATHAN YOTHANAN,N/A,0 / 0,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SULUCK PATTARATHAMMAS,N/A,0 / 0,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,YANYONG WATTANAWONGPITAK,N/A,0 / 0,N/A,,
CEN,2022,6,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,3.,JAKKATHAN YOTHANAN,N/A,0 / 0,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,VISIT ONGPIPATTANAKUL,N/A,7 / 7,100.00,Yes,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,THEERACHAI LEENABANCHONG,N/A,7 / 7,100.00,No,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,7 / 7,100.00,Yes,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,JAKKATHAN YOTHANAN,N/A,7 / 7,100.00,Yes,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,7 / 7,100.00,Yes,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,WAI LEONG FONG,N/A,4 / 7,57.14,Yes,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,KRISADA SUTHANINTR,N/A,3 / 7,42.86,No,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,ANWIN LIM,N/A,1 / 7,14.29,No,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,KRISSADA SURAWATHANAWISES,N/A,0 / 7,0.00,No,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,YANYONG WATTANAWONGPITAK,28/08/2023,6 / 7,85.71,Yes,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of the Board of Directors,11.,POONPAT LOHARJUN,03/08/2023,1 / 7,14.29,No,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Audit Committee,1.,VISIT ONGPIPATTANAKUL,N/A,5 / 5,100.00,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Audit Committee,2.,JAKKATHAN YOTHANAN,N/A,5 / 5,100.00,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Audit Committee,3.,KRISSADA SURAWATHANAWISES,N/A,0 / 5,0.00,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Audit Committee,4.,YANYONG WATTANAWONGPITAK,28/08/2023,4 / 5,80.00,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Executive Committee,1.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,N/A,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Executive Committee,2.,THEERACHAI LEENABANCHONG,N/A,N/A,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Executive Committee,3.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,N/A,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Executive Committee,4.,CHIRDSAK KUKIATTINUN,31/12/2022,N/A,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Remuneration Committee,1.,VISIT ONGPIPATTANAKUL,N/A,0 / 0,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Remuneration Committee,2.,YANYONG WATTANAWONGPITAK,N/A,0 / 0,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Remuneration Committee,3.,JAKKATHAN YOTHANAN,N/A,0 / 0,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Risk Management Committee,1.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,0 / 0,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Risk Management Committee,2.,YANYONG WATTANAWONGPITAK,N/A,0 / 0,N/A,,
CEN,2023,7,5,28/04/2023,Yes,Meeting Attendance of Risk Management Committee,3.,JAKKATHAN YOTHANAN,N/A,0 / 0,N/A,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,1.,VISIT ONGPIPATTANAKUL,N/A,5 / 5,100.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,2.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,5 / 5,100.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,3.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,5 / 5,100.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,4.,JAKKATHAN YOTHANAN,N/A,5 / 5,100.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,5.,WAI LEONG FONG,N/A,3 / 5,60.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,6.,KRISADA SUTHANINTR,N/A,5 / 5,100.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,7.,ANWIN LIM,N/A,5 / 5,100.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,8.,KRISSADA SURAWATHANAWISES,N/A,5 / 5,100.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,9.,ARUK ONSUPHAB,N/A,0 / 5,0.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of the Board of Directors,10.,THEERACHAI LEENABANCHONG,01/11/2024,4 / 5,80.00,1 / 1,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Audit Committee,1.,VISIT ONGPIPATTANAKUL,N/A,5 / 5,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Audit Committee,2.,JAKKATHAN YOTHANAN,N/A,5 / 5,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Audit Committee,3.,KRISSADA SURAWATHANAWISES,N/A,4 / 5,80.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Executive Committee,1.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,3 / 3,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Executive Committee,2.,THEERACHAI LEENABANCHONG,N/A,2 / 2,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Executive Committee,3.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,3 / 3,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Executive Committee,4.,ARUK ONSUPHAB,N/A,1 / 1,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Executive Committee,5.,THEERACHAI LEENABANCHONG,01/11/2024,N/A,N/A,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Remuneration Committee,1.,VISIT ONGPIPATTANAKUL,N/A,2 / 2,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Remuneration Committee,2.,JAKKATHAN YOTHANAN,N/A,2 / 2,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Remuneration Committee,3.,KRISSADA SURAWATHANAWISES,N/A,2 / 2,100.00,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Risk Management Committee,1.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,0 / 0,N/A,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Risk Management Committee,2.,JAKKATHAN YOTHANAN,N/A,0 / 0,N/A,,
CEN,2024,5,5,30/04/2024,No,Meeting Attendance of Risk Management Committee,3.,KRISSADA SURAWATHANAWISES,N/A,0 / 0,N/A,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,VISIT ONGPIPATTANAKUL,N/A,5 / 5,100.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,5 / 5,100.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,JAKKATHAN YOTHANAN,N/A,5 / 5,100.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,KRISADA SUTHANINTR,N/A,5 / 5,100.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,ANWIN LIM,N/A,4 / 5,80.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,KRISSADA SURAWATHANAWISES,N/A,5 / 5,100.00,0 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,ARUK ONSUPHAB,N/A,5 / 5,100.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,Jantharat Sodsongchit,N/A,2 / 2,100.00,0 / 0,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,SIRIPHONG VONGVUTTIPORNCHAI,16/12/2025,5 / 5,100.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,WAI LEONG FONG,14/05/2025,1 / 2,50.00,1 / 1,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,VISIT ONGPIPATTANAKUL,N/A,5 / 5,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,JAKKATHAN YOTHANAN,N/A,5 / 5,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,KRISSADA SURAWATHANAWISES,N/A,5 / 5,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,1 / 1,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,THEERACHAI LEENABANCHONG,N/A,0 / 0,N/A,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,LAPHASSARIN KRAIWONGWANITRUNG,N/A,1 / 1,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,ARUK ONSUPHAB,N/A,1 / 1,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,THEERACHAI LEENABANCHONG,14/11/2024,N/A,N/A,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration Committee,1.,VISIT ONGPIPATTANAKUL,N/A,2 / 2,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration Committee,2.,JAKKATHAN YOTHANAN,N/A,2 / 2,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration Committee,3.,KRISSADA SURAWATHANAWISES,N/A,2 / 2,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,SIRIPHONG VONGVUTTIPORNCHAI,N/A,1 / 1,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,JAKKATHAN YOTHANAN,N/A,1 / 1,100.00,,
CEN,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,3.,KRISSADA SURAWATHANAWISES,N/A,1 / 1,100.00,,
CEN,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
CEN,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
CEN,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
