Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CGH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CGH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CGH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CGH,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CGH,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CGH,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,SADAWUT TAECHAUBOL,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,SURABHON KWUNCHAITHUNYA,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,TOMMY TAECHAUBOL,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,DEJ NAMSIRIKUL,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,NIPON WISITYUTHASART,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,WERAPONG CHUENPAGDEE,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,PISUTH VIRIYAMETTAKUL,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,JITMANEE SUWANNAPOOL,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHULARAT SUTEETHORN,N/A,7 / 7,100.00,Yes,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of Audit Committee,1.,NIPON WISITYUTHASART,N/A,5 / 5,100.00,,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of Audit Committee,2.,WERAPONG CHUENPAGDEE,N/A,5 / 5,100.00,,
CGH,2023,7,5,26/04/2023,No,Meeting Attendance of Audit Committee,3.,JITMANEE SUWANNAPOOL,N/A,5 / 5,100.00,,
