Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CHARAN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CHARAN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CHARAN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOPON KLUAYMAI NA AYUDHYA,N/A,5 / 5,100.00,Yes,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUKICH CHARANVAS,N/A,5 / 5,100.00,Yes,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,PON TITIPANICHYANGOON,N/A,5 / 5,100.00,Yes,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,VORAYUTH CHAROENLOET,N/A,5 / 5,100.00,Yes,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,POODPONG ARSINGSAMANUNTA,N/A,5 / 5,100.00,Yes,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,KITTIPONG CHARANVAS,N/A,5 / 5,100.00,Yes,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,THANITPHONG PICHAIBAVORNPHAT,N/A,1 / 5,20.00,No,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMPOL CHAIYACHOW,01/09/2022,2 / 5,40.00,No,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Audit Committee,1.,POODPONG ARSINGSAMANUNTA,N/A,4 / 4,100.00,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Audit Committee,2.,VORAYUTH CHAROENLOET,N/A,4 / 4,100.00,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Audit Committee,3.,THANITPHONG PICHAIBAVORNPHAT,N/A,1 / 4,25.00,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Audit Committee,4.,SOMPOL CHAIYACHOW,01/09/2022,2 / 4,50.00,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Executive Committee,1.,SUKICH CHARANVAS,N/A,N/A,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Executive Committee,2.,PON TITIPANICHYANGOON,N/A,N/A,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Executive Committee,3.,KITTIPONG CHARANVAS,N/A,N/A,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SUKICH CHARANVAS,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PON TITIPANICHYANGOON,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,KITTIPONG CHARANVAS,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Sudarat  Wiwattanadaj,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Kanyawan Trisaksuriyan,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,6.,Kosit  Angkasuwan,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,7.,Nopadol  Suawankareekul,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Risk Management Committee,8.,Napaporn Thanangtonh,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Investment Committee,1.,SUKICH CHARANVAS,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Investment Committee,2.,KITTIPONG CHARANVAS,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Investment Committee,3.,PON TITIPANICHYANGOON,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Investment Committee,4.,Kanyawan Trisaksuriyan,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Investment Committee,5.,Sudarat  Wiwattanadaj,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,1.,PON TITIPANICHYANGOON,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,2.,Kitti  Charanvas,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,3.,KITTIPONG CHARANVAS,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,4.,Wisith  Limcharoensuk,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,5.,Pattama  Trakarnaiem,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,6.,Punrada  Ayucharoenkul,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,7.,Kritsana Kongthong,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,8.,Sornchai Keawrakmuk,N/A,0 / 0,N/A,,
CHARAN,2022,5,N/A,27/04/2022,No,Meeting Attendance of Product Committee,9.,Kosit  Angkasuwan,N/A,0 / 0,N/A,,
