Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CHASE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CHASE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CHASE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,PRADIT LEOSIRIKUL,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,PRACHA CHAISUWAN,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,HATHAIRAT KAEWSAENMUANG,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,SURACHAI CHETCHOTISAK,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,WITTAWAT WETCHABUTSAKORN,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,WARALUCK CHAISUWAN,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,SUTHIDA CHAISUWAN,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,GRISH ATTAGRISH,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,WANSUDA THANASARANART,N/A,6 / 6,100.00,Yes,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Audit Committee,1.,GRISH ATTAGRISH,N/A,5 / 5,100.00,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Audit Committee,2.,WANSUDA THANASARANART,N/A,5 / 5,100.00,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Audit Committee,3.,PRADIT LEOSIRIKUL,N/A,5 / 5,100.00,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,1.,PRACHA CHAISUWAN,N/A,N/A,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,2.,HATHAIRAT KAEWSAENMUANG,N/A,N/A,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,3.,WARALUCK CHAISUWAN,N/A,N/A,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,4.,SUTHIDA CHAISUWAN,N/A,N/A,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,5.,SURACHAI CHETCHOTISAK,N/A,N/A,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Executive Committee,6.,WITTAWAT WETCHABUTSAKORN,N/A,N/A,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,WANSUDA THANASARANART,N/A,0 / 0,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,PRADIT LEOSIRIKUL,N/A,0 / 0,N/A,,
CHASE,2022,6,5,29/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,HATHAIRAT KAEWSAENMUANG,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRADIT LEOSIRIKUL,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,PRACHA CHAISUWAN,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,HATHAIRAT KAEWSAENMUANG,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,WITTAWAT WETCHABUTSAKORN,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,SURACHAI CHETCHOTISAK,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,SUTHIDA CHAISUWAN,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,WARALUCK CHAISUWAN,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,WANSUDA THANASARANART,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,GRISH ATTAGRISH,N/A,6 / 6,100.00,Yes,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Audit Committee,1.,GRISH ATTAGRISH,N/A,4 / 4,100.00,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Audit Committee,2.,WANSUDA THANASARANART,N/A,4 / 4,100.00,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Audit Committee,3.,PRADIT LEOSIRIKUL,N/A,4 / 4,100.00,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Executive Committee,1.,PRACHA CHAISUWAN,N/A,N/A,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Executive Committee,2.,HATHAIRAT KAEWSAENMUANG,N/A,N/A,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Executive Committee,3.,WARALUCK CHAISUWAN,N/A,N/A,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Executive Committee,4.,SUTHIDA CHAISUWAN,N/A,N/A,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Executive Committee,5.,SURACHAI CHETCHOTISAK,N/A,N/A,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Executive Committee,6.,WITTAWAT WETCHABUTSAKORN,N/A,N/A,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,WANSUDA THANASARANART,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PRADIT LEOSIRIKUL,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,HATHAIRAT KAEWSAENMUANG,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Risk Management Committee,1.,HATHAIRAT KAEWSAENMUANG,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Risk Management Committee,2.,WARALUCK CHAISUWAN,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Risk Management Committee,3.,SUTHIDA CHAISUWAN,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,1.,WARALUCK CHAISUWAN,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,2.,SUTHIDA CHAISUWAN,N/A,0 / 0,N/A,,
CHASE,2023,6,4,27/04/2023,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,3.,HATHAIRAT KAEWSAENMUANG,N/A,0 / 0,N/A,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,1.,PRADIT LEOSIRIKUL,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,2.,PRACHA CHAISUWAN,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,3.,HATHAIRAT KAEWSAENMUANG,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,4.,SURACHAI CHETCHOTISAK,N/A,3 / 4,75.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,5.,WITTAWAT WETCHABUTSAKORN,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,6.,WARALUCK CHAISUWAN,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,7.,SUTHIDA CHAISUWAN,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,8.,GRISH ATTAGRISH,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of the Board of Directors,9.,WANSUDA THANASARANART,N/A,4 / 4,100.00,1 / 1,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Audit Committee,1.,GRISH ATTAGRISH,N/A,4 / 4,100.00,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Audit Committee,2.,WANSUDA THANASARANART,N/A,4 / 4,100.00,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Audit Committee,3.,PRADIT LEOSIRIKUL,N/A,4 / 4,100.00,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Executive Committee,1.,PRACHA CHAISUWAN,N/A,15 / 15,100.00,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Executive Committee,2.,HATHAIRAT KAEWSAENMUANG,N/A,15 / 15,100.00,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Executive Committee,3.,WARALUCK CHAISUWAN,N/A,15 / 15,100.00,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Executive Committee,4.,SUTHIDA CHAISUWAN,N/A,15 / 15,100.00,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Executive Committee,5.,SURACHAI CHETCHOTISAK,N/A,4 / 15,26.67,,
CHASE,2024,4,4,30/04/2024,No,Meeting Attendance of Executive Committee,6.,WITTAWAT WETCHABUTSAKORN,N/A,15 / 15,100.00,,
