Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CHG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CHG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CHG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,KRIENGSAK PLUSSIND,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,KUMPOL PLUSSIND,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,APIRUM PANYAPHOL,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,WICHIT SIRITATTAMRONG,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUCHAI LAOVERAWAT,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,KOBKUL PANYAPHOL,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,YANYONG AMORNPITAKKUL,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,KANNIKAR PLUSSIND,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,SOMYOS YAN-UBOL,N/A,6 / 6,100.00,N/A,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,MANIT JEERADIT,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,PINIT KULLAVANIJAYA,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,SANTHAT SANGUANDIKUL,N/A,6 / 6,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,CHAYAWAT PISESSITH,12/05/2022,3 / 3,100.00,Yes,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,1.,MANIT JEERADIT,N/A,5 / 5,100.00,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMYOS YAN-UBOL,N/A,5 / 5,100.00,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,3.,SANTHAT SANGUANDIKUL,N/A,5 / 5,100.00,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,4.,CHAYAWAT PISESSITH,12/05/2022,2 / 2,100.00,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,1.,KUMPOL PLUSSIND,N/A,N/A,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,2.,SUCHAI LAOVERAWAT,N/A,N/A,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,1.,KUMPOL PLUSSIND,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,2.,SUCHAI LAOVERAWAT,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,1.,MANIT JEERADIT,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMYOS YAN-UBOL,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,3.,SANTHAT SANGUANDIKUL,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,KRIENGSAK PLUSSIND,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,MANIT JEERADIT,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,SOMYOS YAN-UBOL,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Corporate Governance Committee,4.,SANTHAT SANGUANDIKUL,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PINIT KULLAVANIJAYA,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,MANIT JEERADIT,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,YANYONG AMORNPITAKKUL,N/A,0 / 0,N/A,,
CHG,2022,6,5,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,SOMYOS YAN-UBOL,N/A,0 / 0,N/A,,
