Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CMC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CMC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CMC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,SANTI KIRANAND,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,WICHIAN PADHAYANUN,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,WIROJ PADTHAYANAN,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,ANONGLUCK PATTAYANUNT,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,WUTTIPONG PATYANUNT,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,SOMYOS CHIAMCHIRUNGKORN,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,SATIT URAI-VEROTCHANAKORN,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,ACHARA CHANDRACHAI,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,RATANA ANUPASANANT,N/A,6 / 6,100.00,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,SURAWEE CHAITHUMRONGKOOL,31/03/2022,2 / 6,33.33,Yes,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Audit Committee,1.,ACHARA CHANDRACHAI,N/A,5 / 5,100.00,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMYOS CHIAMCHIRUNGKORN,N/A,5 / 5,100.00,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Audit Committee,3.,SATIT URAI-VEROTCHANAKORN,N/A,5 / 5,100.00,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Executive Committee,1.,WICHIAN PADHAYANUN,N/A,N/A,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Executive Committee,2.,ANONGLUCK PATTAYANUNT,N/A,N/A,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Executive Committee,3.,Songthip kotaravibul,N/A,N/A,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Executive Committee,4.,Nithida Ratchatarom,N/A,N/A,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Executive Committee,5.,Charndej Lukthong,N/A,N/A,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SANTI KIRANAND,N/A,0 / 0,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,2.,Nithida Ratchatarom,N/A,0 / 0,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Risk Management Committee,3.,RATANA ANUPASANANT,N/A,0 / 0,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,RATANA ANUPASANANT,N/A,0 / 0,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,ANONGLUCK PATTAYANUNT,N/A,0 / 0,N/A,,
CMC,2022,6,5,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SOMYOS CHIAMCHIRUNGKORN,N/A,0 / 0,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,SANTI KIRANAND,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,WUTTIPONG PATYANUNT,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,ANONGLUCK PATTAYANUNT,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,WICHIAN PADHAYANUN,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,SOMYOS CHIAMCHIRUNGKORN,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,SATIT URAI-VEROTCHANAKORN,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,ACHARA CHANDRACHAI,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,RATANA ANUPASANANT,N/A,5 / 5,100.00,Yes,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,9.,wiroj Padthayanan,N/A,N/A,N/A,N/A,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,ACHARA CHANDRACHAI,N/A,4 / 4,100.00,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,SOMYOS CHIAMCHIRUNGKORN,N/A,4 / 4,100.00,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,SATIT URAI-VEROTCHANAKORN,N/A,4 / 4,100.00,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,WICHIAN PADHAYANUN,N/A,N/A,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,2.,ANONGLUCK PATTAYANUNT,N/A,N/A,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,3.,Songthip kotaravibul,N/A,N/A,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,4.,Nithida Ratchatarom,N/A,N/A,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,5.,Piyanat Aranyakasemsuke,N/A,N/A,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,6.,ITSARAWUT WATTANAPRADIT,N/A,N/A,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,7.,chandeaj rukthong,20/12/2023,N/A,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,1.,SANTI KIRANAND,N/A,0 / 0,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,2.,RATANA ANUPASANANT,N/A,0 / 0,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,3.,Nithida Ratchatarom,N/A,0 / 0,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,RATANA ANUPASANANT,N/A,0 / 0,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SOMYOS CHIAMCHIRUNGKORN,N/A,0 / 0,N/A,,
CMC,2023,5,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ANONGLUCK PATTAYANUNT,N/A,0 / 0,N/A,,
CMC,2024,8,6,26/04/2024,No,Meeting Attendance of the Board of Directors,1.,PRADIT WANARAT,N/A,4 / 8,50.00,0 / 1,
CMC,2024,8,6,26/04/2024,No,Meeting Attendance of the Board of Directors,2.,WICHIAN PADHAYANUN,N/A,8 / 8,100.00,1 / 1,
