Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CMR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CMR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CMR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CMR,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CMR,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CMR,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHAMNAN CHANAPAI,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,VARAPHAN UNACHAK,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,DUSIT SRISAKUL,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,TEERAYUTH NIYOMGOOL,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,SUMETH HANDAGOON,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,SUTHISAK KANAPRACH,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,KRIRK JITTALAN,N/A,5 / 5,100.00,No,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,CHAISITH VIRIYAMETTAKUL,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,SITTHI PANUPATTANAPONG,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,10.,RUECHID KANJANAPITAK,N/A,5 / 5,100.00,No,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,11.,TALIT CHUEN-IM,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of the Board of Directors,12.,WANNARAT CHUNUMPAI,N/A,5 / 5,100.00,Yes,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Audit Committee,1.,SUTHISAK KANAPRACH,N/A,5 / 5,100.00,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Audit Committee,2.,KRIRK JITTALAN,N/A,5 / 5,100.00,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Audit Committee,3.,WANNARAT CHUNUMPAI,N/A,5 / 5,100.00,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Executive Committee,1.,VARAPHAN UNACHAK,N/A,N/A,N/A,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Executive Committee,2.,DUSIT SRISAKUL,N/A,N/A,N/A,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Executive Committee,3.,TEERAYUTH NIYOMGOOL,N/A,N/A,N/A,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Executive Committee,4.,SUMETH HANDAGOON,N/A,N/A,N/A,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Risk Management Committee,1.,VARAPHAN UNACHAK,N/A,0 / 0,N/A,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Risk Management Committee,2.,SUMETH HANDAGOON,N/A,0 / 0,N/A,,
CMR,2023,5,5,27/04/2023,No,Meeting Attendance of Risk Management Committee,3.,DUSIT SRISAKUL,N/A,0 / 0,N/A,,
