Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRAYOON PHOLPIPATTANAPHONG,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,LAN MU - CHIOU,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,Prapas Pholpipattanaphong,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,AMNUAY YOSSUCK,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,ANKOON PHOLPIPATTANAPHONG,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,AMPON RUAYFUPANT,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,PHUSIT WONGLORSAICHON,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,CHUTIMA TANGMATITHAM,N/A,7 / 7,100.00,Yes,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,AMNUAY YOSSUCK,N/A,4 / 4,100.00,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,AMPON RUAYFUPANT,N/A,4 / 4,100.00,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,CHUTIMA TANGMATITHAM,N/A,4 / 4,100.00,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,PRAYOON PHOLPIPATTANAPHONG,N/A,N/A,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Executive Committee,2.,Prapas Pholpipattanaphong,N/A,N/A,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Executive Committee,3.,ANKOON PHOLPIPATTANAPHONG,N/A,N/A,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,PHUSIT WONGLORSAICHON,N/A,0 / 0,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,ANKOON PHOLPIPATTANAPHONG,N/A,0 / 0,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,CHUTIMA TANGMATITHAM,N/A,0 / 0,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,4.,Tewin Rungratanapitak,N/A,0 / 0,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,5.,Warisara  Kangkanka,N/A,0 / 0,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,6.,Tummarat  Charoensanti,N/A,0 / 0,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,7.,Piyalak  Chuapoodee,N/A,0 / 0,N/A,,
CM,2022,7,4,26/04/2023,No,Meeting Attendance of Risk Management Committee,1.,ANKOON PHOLPIPATTANAPHONG,N/A,0 / 0,N/A,,
