Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CPALL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPALL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPALL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOOPAKIJ CHEARAVANONT,N/A,6 / 8,75.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,KORSAK CHAIRASMISAK,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,SUPHACHAI CHEARAVANONT,N/A,7 / 8,87.50,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,TANIN BURANAMANIT,N/A,7 / 8,87.50,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,PRASERT JARUPANICH,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,UMROONG SANPHASITVONG,N/A,7 / 8,87.50,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,PITTAYA JEARAVISITKUL,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,NARONG CHEARAVANONT,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,PIYAWAT TITASATTAVORAKUL,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,PADOONG TECHASARINTR,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,PRIDI BOONYOUNG,N/A,7 / 8,87.50,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,ADIREK SRIPRATAK,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,PHATCHARAVAT WONGSUWAN,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,14.,PRASOBSOOK BOONDECH,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,15.,NAMPUNG WONGSMITH,N/A,8 / 8,100.00,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of the Board of Directors,16.,KITTIPONG KITTAYARAK,N/A,7 / 8,87.50,Yes,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Audit Committee,1.,PADOONG TECHASARINTR,N/A,12 / 12,100.00,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PRIDI BOONYOUNG,N/A,12 / 12,100.00,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Audit Committee,3.,NAMPUNG WONGSMITH,N/A,12 / 12,100.00,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,1.,KORSAK CHAIRASMISAK,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,2.,PITTAYA JEARAVISITKUL,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,3.,PIYAWAT TITASATTAVORAKUL,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,4.,TANIN BURANAMANIT,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,5.,wisade wisidwinyoo,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,6.,vichien Chuengviroj,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,7.,Lawan Tienghongsakul,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,8.,Taweesak Kaewrathtanapattama,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,9.,YUTHASAK POOMSURAKUL,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Executive Committee,10.,UMROONG SANPHASITVONG,N/A,N/A,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Sustainability and Corporate Governance Committee,1.,PRASOBSOOK BOONDECH,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Sustainability and Corporate Governance Committee,2.,PHATCHARAVAT WONGSUWAN,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Sustainability and Corporate Governance Committee,3.,PADOONG TECHASARINTR,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Sustainability and Corporate Governance Committee,4.,UMROONG SANPHASITVONG,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Remuneration and Nomination Committee,1.,PHATCHARAVAT WONGSUWAN,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Remuneration and Nomination Committee,2.,PADOONG TECHASARINTR,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Remuneration and Nomination Committee,3.,SUPHACHAI CHEARAVANONT,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,1.,KORSAK CHAIRASMISAK,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,2.,PITTAYA JEARAVISITKUL,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,3.,PIYAWAT TITASATTAVORAKUL,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,4.,TANIN BURANAMANIT,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,5.,UMROONG SANPHASITVONG,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,6.,YUTHASAK POOMSURAKUL,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,7.,wisade wisidwinyoo,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,8.,Taweesak Kaewrathtanapattama,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,9.,vichien Chuengviroj,N/A,0 / 0,N/A,,
CPALL,2022,8,12,22/04/2022,No,Meeting Attendance of Risk Committee,10.,Lawan Tienghongsakul,N/A,0 / 0,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,SOOPAKIJ CHEARAVANONT,N/A,7 / 9,77.78,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,KORSAK CHAIRASMISAK,N/A,8 / 9,88.89,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,SUPHACHAI CHEARAVANONT,N/A,7 / 9,77.78,No,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,TANIN BURANAMANIT,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,PRASERT JARUPANICH,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,UMROONG SANPHASITVONG,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,PITTAYA JEARAVISITKUL,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,NARONG CHEARAVANONT,N/A,7 / 9,77.78,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,9.,PIYAWAT TITASATTAVORAKUL,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,10.,PADOONG TECHASARINTR,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,11.,PRIDI BOONYOUNG,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,12.,ADIREK SRIPRATAK,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,13.,PRASOBSOOK BOONDECH,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,14.,NAMPUNG WONGSMITH,N/A,9 / 9,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,15.,KITTIPONG KITTAYARAK,N/A,8 / 9,88.89,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,16.,DUMRONGSAK KITTIPRAPAS,N/A,1 / 1,100.00,No,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of the Board of Directors,17.,PHATCHARAVAT WONGSUWAN,30/08/2023,6 / 6,100.00,Yes,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Audit Committee,1.,PADOONG TECHASARINTR,N/A,13 / 13,100.00,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Audit Committee,2.,PRIDI BOONYOUNG,N/A,13 / 13,100.00,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Audit Committee,3.,NAMPUNG WONGSMITH,N/A,13 / 13,100.00,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,1.,KORSAK CHAIRASMISAK,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,2.,PITTAYA JEARAVISITKUL,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,3.,PIYAWAT TITASATTAVORAKUL,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,4.,TANIN BURANAMANIT,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,5.,wisade wisidwinyoo,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,6.,vichien Chuengviroj,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,7.,Lawan Tienghongsakul,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,8.,Taweesak Kaewrathtanapattama,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,9.,YUTHASAK POOMSURAKUL,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Executive Committee,10.,UMROONG SANPHASITVONG,N/A,N/A,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Sustainability and Corporate Governance Committee,1.,PRASOBSOOK BOONDECH,N/A,0 / 0,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Sustainability and Corporate Governance Committee,2.,DUMRONGSAK KITTIPRAPAS,N/A,0 / 0,N/A,,
CPALL,2023,9,13,21/04/2023,No,Meeting Attendance of Sustainability and Corporate Governance Committee,3.,PADOONG TECHASARINTR,N/A,0 / 0,N/A,,
