Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CPANEL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPANEL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPANEL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHARVANIN BUNDITKITSADA,N/A,4 / 4,100.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHAKRIT THEEPAKORNSUKKASAME,N/A,4 / 4,100.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHANAT SORAKRAIKITIKUL,N/A,4 / 4,100.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUWATCHAI KERDPOOL,N/A,4 / 4,100.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,PREECHA LEELASITHORN,N/A,4 / 4,100.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHAIYUT SRIVIKORN,N/A,3 / 4,75.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,TZU YUAN WANG,N/A,4 / 4,100.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,JIRAYONG ANUMAN-RAJADHON,N/A,4 / 4,100.00,Yes,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,MANIT YAM-U-TAI,N/A,4 / 4,100.00,No,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,CHANAT SORAKRAIKITIKUL,N/A,4 / 4,100.00,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,CHARVANIN BUNDITKITSADA,N/A,4 / 4,100.00,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,MANIT YAM-U-TAI,N/A,4 / 4,100.00,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAKRIT THEEPAKORNSUKKASAME,N/A,N/A,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,2.,SUWATCHAI KERDPOOL,N/A,N/A,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,3.,TZU YUAN WANG,N/A,N/A,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,4.,Wivit Jeerawathanachoke,N/A,N/A,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,5.,Sittisak Sreeyoha,N/A,N/A,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,CHARVANIN BUNDITKITSADA,N/A,0 / 0,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHAKRIT THEEPAKORNSUKKASAME,N/A,0 / 0,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHANAT SORAKRAIKITIKUL,N/A,0 / 0,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,MANIT YAM-U-TAI,N/A,0 / 0,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,1.,JIRAYONG ANUMAN-RAJADHON,N/A,0 / 0,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,2.,TZU YUAN WANG,N/A,0 / 0,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,3.,SUWATCHAI KERDPOOL,N/A,0 / 0,N/A,,
CPANEL,2022,4,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Wivit Jeerawathanachoke,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHARVANIN BUNDITKITSADA,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHAKRIT THEEPAKORNSUKKASAME,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHANAT SORAKRAIKITIKUL,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,SUWATCHAI KERDPOOL,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,PREECHA LEELASITHORN,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHAIYUT SRIVIKORN,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,TZU YUAN WANG,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,JIRAYONG ANUMAN-RAJADHON,N/A,4 / 4,100.00,Yes,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,9.,MANIT YAM-U-TAI,N/A,4 / 4,100.00,No,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,1.,CHANAT SORAKRAIKITIKUL,N/A,4 / 4,100.00,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,2.,CHARVANIN BUNDITKITSADA,N/A,4 / 4,100.00,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,3.,MANIT YAM-U-TAI,N/A,4 / 4,100.00,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,1.,CHAKRIT THEEPAKORNSUKKASAME,N/A,N/A,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,2.,SUWATCHAI KERDPOOL,N/A,N/A,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,3.,TZU YUAN WANG,N/A,N/A,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,4.,Wivit Jeerawathanachoke,N/A,N/A,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,5.,Sittisak Sreeyoha,N/A,N/A,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,CHARVANIN BUNDITKITSADA,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHAKRIT THEEPAKORNSUKKASAME,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHANAT SORAKRAIKITIKUL,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,4.,MANIT YAM-U-TAI,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,1.,JIRAYONG ANUMAN-RAJADHON,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,2.,TZU YUAN WANG,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,3.,SUWATCHAI KERDPOOL,N/A,0 / 0,N/A,,
CPANEL,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,4.,Wivit Jeerawathanachoke,N/A,0 / 0,N/A,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,CHARVANIN BUNDITKITSADA,N/A,4 / 4,100.00,1 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHAKRIT THEEPAKORNSUKKASAME,N/A,4 / 4,100.00,1 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,CHANAT SORAKRAIKITIKUL,N/A,4 / 4,100.00,1 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,SUWATCHAI KERDPOOL,N/A,4 / 4,100.00,1 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,PREECHA LEELASITHORN,N/A,4 / 4,100.00,0 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,CHAIYUT SRIVIKORN,N/A,4 / 4,100.00,0 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,TZU YUAN WANG,N/A,4 / 4,100.00,1 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,8.,JIRAYONG ANUMAN-RAJADHON,N/A,3 / 4,75.00,1 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,9.,MANIT YAM-U-TAI,N/A,4 / 4,100.00,1 / 1,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,1.,CHANAT SORAKRAIKITIKUL,N/A,4 / 4,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,2.,CHARVANIN BUNDITKITSADA,N/A,4 / 4,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,3.,MANIT YAM-U-TAI,N/A,4 / 4,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,1.,CHAKRIT THEEPAKORNSUKKASAME,N/A,8 / 8,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,2.,SUWATCHAI KERDPOOL,N/A,8 / 8,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,3.,TZU YUAN WANG,N/A,8 / 8,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,4.,Sittisak Sreeyoha,N/A,8 / 8,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,CHARVANIN BUNDITKITSADA,N/A,1 / 1,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHAKRIT THEEPAKORNSUKKASAME,N/A,1 / 1,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHANAT SORAKRAIKITIKUL,N/A,1 / 1,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,4.,MANIT YAM-U-TAI,N/A,1 / 1,100.00,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Risk Management Committee,1.,JIRAYONG ANUMAN-RAJADHON,N/A,0 / 0,N/A,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Risk Management Committee,2.,TZU YUAN WANG,N/A,0 / 0,N/A,,
CPANEL,2024,4,4,25/04/2024,No,Meeting Attendance of Risk Management Committee,3.,SUWATCHAI KERDPOOL,N/A,0 / 0,N/A,,
CPANEL,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPANEL,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPANEL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,12 / 12,100.00,,
CPANEL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,12 / 12,100.00,,
CPANEL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,12 / 12,100.00,,
CPANEL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,12 / 12,100.00,,
CPANEL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPANEL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
CPANEL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
