Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CPI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,BANPHOT HONGTHONG,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,TAKON TAWINTERMSUP,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,SONGRIDTH NIWATTISAIWONG,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,KITTI CHATLEKHAVANICH,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHUSAK PRACHAYANGPRECHA,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,KAROON NUNTILEEPONG,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,RACHOJ TAWINTERMSUP,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,PAIBOON KUJAREEVANICH,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,NOPPORN PICHA,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,SARAVUT MENASAVET,N/A,4 / 4,100.00,Yes,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,NOPPORN PICHA,N/A,4 / 4,100.00,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,PAIBOON KUJAREEVANICH,N/A,4 / 4,100.00,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,SARAVUT MENASAVET,N/A,4 / 4,100.00,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Executive Committee,1.,CHUSAK PRACHAYANGPRECHA,N/A,N/A,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Executive Committee,2.,TAKON TAWINTERMSUP,N/A,N/A,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Executive Committee,1.,TAKON TAWINTERMSUP,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Executive Committee,2.,CHUSAK PRACHAYANGPRECHA,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Corporate Governance Committee and Sustainable Development Committee,1.,KAROON NUNTILEEPONG,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Corporate Governance Committee and Sustainable Development Committee,2.,SONGRIDTH NIWATTISAIWONG,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,BANPHOT HONGTHONG,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,NOPPORN PICHA,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHUSAK PRACHAYANGPRECHA,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,1.,NOPPORN PICHA,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PAIBOON KUJAREEVANICH,N/A,0 / 0,N/A,,
CPI,2022,4,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,3.,SARAVUT MENASAVET,N/A,0 / 0,N/A,,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,BANPHOT HONGTHONG,N/A,4 / 4,100.00,Yes,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,TAKON TAWINTERMSUP,N/A,4 / 4,100.00,Yes,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,SONGRIDTH NIWATTISAIWONG,N/A,4 / 4,100.00,Yes,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,KITTI CHATLEKHAVANICH,N/A,4 / 4,100.00,Yes,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,CHUSAK PRACHAYANGPRECHA,N/A,4 / 4,100.00,Yes,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,KAROON NUNTILEEPONG,N/A,4 / 4,100.00,Yes,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,RACHOJ TAWINTERMSUP,N/A,4 / 4,100.00,Yes,
CPI,2023,4,4,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,PAIBOON KUJAREEVANICH,N/A,4 / 4,100.00,Yes,
