Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CPR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,NOBUYOSHI EDA,N/A,4 / 4,100.00,Yes,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,ARAN SRIWONGTHAI,N/A,4 / 4,100.00,Yes,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,EKKAMOL GANGAKETUL,N/A,4 / 4,100.00,Yes,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,SOMCHAI SAISAENG,N/A,4 / 4,100.00,Yes,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,TOSSAPHOL WANICHVISITGUL,N/A,4 / 4,100.00,Yes,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,KAZUMASA KOBAYASHI,N/A,4 / 4,100.00,Yes,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,KAZUHIRO ENDO,N/A,3 / 4,75.00,Yes,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,WATARU MITSUHASHI,N/A,0 / 4,0.00,No,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,ARAN SRIWONGTHAI,N/A,4 / 4,100.00,,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMCHAI SAISAENG,N/A,4 / 4,100.00,,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,KAZUMASA KOBAYASHI,N/A,4 / 4,100.00,,
CPR,2022,4,4,27/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPR,2023,4,3,27/04/2023,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPR,2023,4,3,27/04/2023,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPR,2023,4,3,27/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPR,2024,4,4,26/04/2024,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPR,2024,4,4,26/04/2024,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPR,2024,4,4,26/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPR,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPR,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
CPR,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
CPR,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPR,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
CPR,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
