Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CPT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRAPART PRAISUWANNA,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,WANCHALEE KANCHANACHONGKOL,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,NOPPADOL WICHIENKUER,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,HARUTHAI LIMPRASERT,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUVIT SINGHAJAN,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,WORAPOJ YASADATT,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,MONCHAI THUNTHANASE,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHAIYOT PIYAWANNARAT,N/A,5 / 5,100.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,SOMSAK LIMPRASERT,05/10/2022,2 / 5,40.00,Yes,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SUVIT SINGHAJAN,N/A,4 / 4,100.00,,
CPT,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,WANCHALEE KANCHANACHONGKOL,N/A,4 / 4,100.00,,
