Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CRD,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CRD,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CRD,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,THERDSAK KOSAIYAKANONT,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,PRAWAT SIRIPATRODOM,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,THIRAPAT CHIRAPIPAT,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHALERMSAK NIMAPAN,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,ANANT SIRISAENGTAKSIN,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,NARUMON KIMPAKORN,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,PONG-IN RAKARIYATHAM,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,SURAPOL SRIWERASKUL,N/A,3 / 4,75.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,PATTANA SUWANSAYA,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,SURASAK SIRIVIROJANAKUL,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,THIDA CHUMROENPURK,N/A,4 / 4,100.00,Yes,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,ANANT SIRISAENGTAKSIN,N/A,4 / 4,100.00,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PRAWAT SIRIPATRODOM,N/A,4 / 4,100.00,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,NARUMON KIMPAKORN,N/A,4 / 4,100.00,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,1.,THIRAPAT CHIRAPIPAT,N/A,N/A,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,2.,CHALERMSAK NIMAPAN,N/A,N/A,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,3.,SURASAK SIRIVIROJANAKUL,N/A,N/A,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,4.,PATTANA SUWANSAYA,N/A,N/A,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,5.,Patcharin  Thumtanom,N/A,N/A,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,6.,Warapant Intamong,N/A,N/A,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,7.,Aekkachai Nounnunta,N/A,N/A,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PONG-IN RAKARIYATHAM,N/A,0 / 0,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,THERDSAK KOSAIYAKANONT,N/A,0 / 0,N/A,,
CRD,2022,4,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PRAWAT SIRIPATRODOM,N/A,0 / 0,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRAWAT SIRIPATRODOM,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,PONG-IN RAKARIYATHAM,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,THIRAPAT CHIRAPIPAT,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,CHALERMSAK NIMAPAN,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,ANANT SIRISAENGTAKSIN,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,NARUMON KIMPAKORN,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,SURAPOL SRIWERASKUL,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,PATTANA SUWANSAYA,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,9.,SURASAK SIRIVIROJANAKUL,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,10.,THIDA CHUMROENPURK,N/A,4 / 4,100.00,Yes,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,11.,THERDSAK KOSAIYAKANONT,28/02/2023,1 / 4,25.00,No,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,ANANT SIRISAENGTAKSIN,N/A,4 / 4,100.00,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,PRAWAT SIRIPATRODOM,N/A,4 / 4,100.00,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,3.,NARUMON KIMPAKORN,N/A,4 / 4,100.00,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,1.,THIRAPAT CHIRAPIPAT,N/A,N/A,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,2.,CHALERMSAK NIMAPAN,N/A,N/A,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,3.,SURASAK SIRIVIROJANAKUL,N/A,N/A,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,4.,PATTANA SUWANSAYA,N/A,N/A,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,5.,Patcharin  Thumtanom,N/A,N/A,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,6.,Warapant Intamong,N/A,N/A,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,7.,Aekkachai Nounnunta,N/A,N/A,N/A,,
CRD,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,8.,Charan Chanai,N/A,N/A,N/A,,
