Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CSC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CSC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CSC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,DHEP VONGVANICH,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,PORNWUT SARASIN,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,SATIT CHANJAVANAKUL,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,DHITIVUTE BULSOOK,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUWIMON KEERATIPIBUL,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,PONGPANU SVETARUNDRA,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,HISATOSHI ITSUBO,N/A,5 / 5,100.00,No,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,SIROTE SWASDIPANICH,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,YUSHIYUKI SHIKANO,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,YUKIHITO NOZAKI,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,ROJRIT DEBHAKAM,N/A,3 / 5,60.00,No,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,OPART DHANVARJOR,N/A,5 / 5,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,TADASHI FUNAHASHI,N/A,4 / 4,100.00,Yes,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,14.,MOTOAKI KIRI,N/A,3 / 4,75.00,No,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,15.,HISASHI NAKAJIMA,22/04/2022,N/A,N/A,N/A,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of the Board of Directors,16.,ICHIO OTSUKA,01/04/2022,N/A,N/A,N/A,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,SIROTE SWASDIPANICH,N/A,4 / 4,100.00,,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,SATIT CHANJAVANAKUL,N/A,4 / 4,100.00,,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,PONGPANU SVETARUNDRA,N/A,4 / 4,100.00,,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,1.,DHEP VONGVANICH,N/A,N/A,N/A,,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,2.,SUWIMON KEERATIPIBUL,N/A,N/A,N/A,,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,3.,OPART DHANVARJOR,N/A,N/A,N/A,,
CSC,2022,5,4,22/04/2022,No,Meeting Attendance of Executive Committee,4.,TADASHI FUNAHASHI,N/A,N/A,N/A,,
