Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DCC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DCC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DCC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,1.,TRAKUL WINITNAIYAPAK,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,2.,MONRAK SAENGSASTRA,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,3.,CHAISITH VIRIYAMETTAKUL,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,4.,SURASAK KOSIYACHINDA,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,5.,YUTHASAK SASIPRAPHA,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,6.,MARUTH SAENGSASTRA,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,7.,SIRIPONG TINNARAT,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,8.,TOTSAPORN BANYONGWATE,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,9.,JARUWAT TRAITHAVIL,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,10.,CHANIN SUPPAPINYOPONG,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of the Board of Directors,11.,SOMLEUTHAI BOONYARIT,N/A,6 / 6,100.00,Yes,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Audit Committee,1.,YUTHASAK SASIPRAPHA,N/A,4 / 4,100.00,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Audit Committee,2.,SURASAK KOSIYACHINDA,N/A,4 / 4,100.00,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Audit Committee,3.,SIRIPONG TINNARAT,N/A,4 / 4,100.00,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Audit Committee,4.,TOTSAPORN BANYONGWATE,N/A,4 / 4,100.00,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Executive Committee,1.,MARUTH SAENGSASTRA,N/A,N/A,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Executive Committee,2.,MONRAK SAENGSASTRA,N/A,N/A,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Executive Committee,3.,JARUWAT TRAITHAVIL,N/A,N/A,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,MARUTH SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,MONRAK SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JARUWAT TRAITHAVIL,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Risk Management Committee (RMC),1.,JARUWAT TRAITHAVIL,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Risk Management Committee (RMC),2.,MONRAK SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Risk Management Committee (RMC),3.,MARUTH SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Risk Management Committee (RMC),4.,SOMLEUTHAI BOONYARIT,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Executive & Corporate Governance Committee,1.,MARUTH SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Executive & Corporate Governance Committee,2.,MONRAK SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2022,6,4,29/03/2022,No,Meeting Attendance of Executive & Corporate Governance Committee,3.,JARUWAT TRAITHAVIL,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,1.,TRAKUL WINITNAIYAPAK,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,2.,MONRAK SAENGSASTRA,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,3.,CHAISITH VIRIYAMETTAKUL,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,4.,SURASAK KOSIYACHINDA,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,5.,YUTHASAK SASIPRAPHA,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,6.,MARUTH SAENGSASTRA,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,7.,SIRIPONG TINNARAT,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,8.,TOTSAPORN BANYONGWATE,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,9.,JARUWAT TRAITHAVIL,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,10.,CHANIN SUPPAPINYOPONG,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of the Board of Directors,11.,SOMLEUTHAI BOONYARIT,N/A,6 / 6,100.00,Yes,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Audit Committee,1.,YUTHASAK SASIPRAPHA,N/A,4 / 4,100.00,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Audit Committee,2.,SURASAK KOSIYACHINDA,N/A,4 / 4,100.00,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Audit Committee,3.,SIRIPONG TINNARAT,N/A,4 / 4,100.00,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Audit Committee,4.,TOTSAPORN BANYONGWATE,N/A,4 / 4,100.00,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Executive Committee,1.,MARUTH SAENGSASTRA,N/A,N/A,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Executive Committee,2.,MONRAK SAENGSASTRA,N/A,N/A,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Executive Committee,3.,JARUWAT TRAITHAVIL,N/A,N/A,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of 2.	Nomination and Remuneration Committee,1.,MARUTH SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of 2.	Nomination and Remuneration Committee,2.,MONRAK SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of 2.	Nomination and Remuneration Committee,3.,JARUWAT TRAITHAVIL,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Risk Management Committee (RMC),1.,JARUWAT TRAITHAVIL,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Risk Management Committee (RMC),2.,MONRAK SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Risk Management Committee (RMC),3.,MARUTH SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Risk Management Committee (RMC),4.,SOMLEUTHAI BOONYARIT,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Executive Committee on Good Corporate Governance and Sustainability,1.,MARUTH SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Executive Committee on Good Corporate Governance and Sustainability,2.,MONRAK SAENGSASTRA,N/A,0 / 0,N/A,,
DCC,2023,6,4,28/03/2023,No,Meeting Attendance of Executive Committee on Good Corporate Governance and Sustainability,3.,JARUWAT TRAITHAVIL,N/A,0 / 0,N/A,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,1.,ROONGROJ SAENGSASTRA,N/A,4 / 4,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,2.,MONRAK SAENGSASTRA,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,3.,CHAISITH VIRIYAMETTAKUL,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,4.,SURASAK KOSIYACHINDA,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,5.,MARUTH SAENGSASTRA,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,6.,SIRIPONG TINNARAT,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,7.,TOTSAPORN BANYONGWATE,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,8.,JARUWAT TRAITHAVIL,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,9.,CHANIN SUPPAPINYOPONG,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,10.,SOMLEUTHAI BOONYARIT,N/A,6 / 6,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,11.,SAMORNWADEE POLPRASERT,N/A,4 / 4,100.00,0 / 0,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,12.,TRAKUL WINITNAIYAPAK,26/03/2024,2 / 2,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of the Board of Directors,13.,YUTHASAK SASIPRAPHA,26/03/2024,2 / 2,100.00,1 / 1,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Audit Committee,1.,SURASAK KOSIYACHINDA,N/A,4 / 4,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Audit Committee,2.,SIRIPONG TINNARAT,N/A,4 / 4,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Audit Committee,3.,TOTSAPORN BANYONGWATE,N/A,4 / 4,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Audit Committee,4.,SAMORNWADEE POLPRASERT,N/A,3 / 3,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Audit Committee,5.,YUTHASAK SASIPRAPHA,26/03/2024,1 / 1,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,MARUTH SAENGSASTRA,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,MONRAK SAENGSASTRA,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JARUWAT TRAITHAVIL,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Risk Management Committee (RMC),1.,JARUWAT TRAITHAVIL,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Risk Management Committee (RMC),2.,MONRAK SAENGSASTRA,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Risk Management Committee (RMC),3.,MARUTH SAENGSASTRA,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Risk Management Committee (RMC),4.,SOMLEUTHAI BOONYARIT,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Executive Committee on Good Corporate Governance and Sustainability,1.,MARUTH SAENGSASTRA,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Executive Committee on Good Corporate Governance and Sustainability,2.,MONRAK SAENGSASTRA,N/A,2 / 2,100.00,,
DCC,2024,6,4,26/03/2024,No,Meeting Attendance of Executive Committee on Good Corporate Governance and Sustainability,3.,JARUWAT TRAITHAVIL,N/A,2 / 2,100.00,,
DCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,ROONGROJ SAENGSASTRA,N/A,6 / 6,100.00,1 / 1,
DCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,MONRAK SAENGSASTRA,N/A,6 / 6,100.00,1 / 1,
DCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,CHAISITH VIRIYAMETTAKUL,N/A,5 / 6,83.33,1 / 1,
DCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,SURASAK KOSIYACHINDA,N/A,6 / 6,100.00,1 / 1,
DCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,MARUTH SAENGSASTRA,N/A,6 / 6,100.00,1 / 1,
