Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DCON,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DCON,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DCON,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,TORTRAKUL YOMNAK,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,Pismai Boonyakiat,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,WITTAWAT PORNKUL,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHANA TOWAN,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,PISARN WATTANAWONGKEEREE,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,WANCHAI TANTIKUL,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,TANAI CHARINSARN,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,NIRUT INTARATHACHANG,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,KAWIN WORAKANCHANA,N/A,4 / 4,100.00,Yes,
DCON,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,Pismai Boonyakiat,N/A,4 / 4,100.00,,
