Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DDD,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DDD,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DDD,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DDD,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DDD,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DDD,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,RITTIKRAI THAMMARAKSA,N/A,7 / 7,100.00,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,SARAWUT PORNPATANARAK,N/A,7 / 7,100.00,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,NITIROJ MANOLAMAI,N/A,7 / 7,100.00,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,SUPHAWAT VANICHPRAPHA,N/A,7 / 7,100.00,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,YUTHAPONG MA,N/A,5 / 7,71.43,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,TERDSAK ROJSURAKITTI,N/A,5 / 7,71.43,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,WASIN PARITHAN,N/A,7 / 7,100.00,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,NUNTAWAN SUWANDEJ,N/A,7 / 7,100.00,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,PHILIPPE SOUVANHEUANE,N/A,7 / 7,100.00,Yes,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of Audit Committee,1.,WASIN PARITHAN,N/A,4 / 4,100.00,,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of Audit Committee,2.,TERDSAK ROJSURAKITTI,N/A,2 / 4,50.00,,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of Audit Committee,3.,PHILIPPE SOUVANHEUANE,N/A,4 / 4,100.00,,
DDD,2023,7,N/A,20/04/2023,No,Meeting Attendance of Executive Committee,1.,SARAWUT PORNPATANARAK,N/A,N/A,N/A,,
