Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DITTO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DITTO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DITTO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DITTO,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DITTO,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DITTO,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,WOOTHISARN TANCHAI,N/A,2 / 2,100.00,No,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,TAKORN RATTANAKAMOLPORN,N/A,7 / 7,100.00,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHAITHAD KULCHOKWANICH,N/A,7 / 7,100.00,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,PONDKARN RATTANAKAMOLPORN,N/A,7 / 7,100.00,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,CHAIYUT EIADKAEW,N/A,7 / 7,100.00,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,MUTTANA WICHEANKEAWMANEE,N/A,6 / 7,85.71,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,NARONG DECHATHANARUJIKORN,N/A,7 / 7,100.00,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,TAWEE MEE-NGERN,N/A,7 / 7,100.00,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,WUTH MEECHOUAY,N/A,6 / 7,85.71,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of the Board of Directors,10.,APIWATHANA POLSAYOM,07/09/2023,3 / 7,42.86,Yes,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Audit Committee,1.,WUTH MEECHOUAY,N/A,3 / 4,75.00,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Audit Committee,2.,TAWEE MEE-NGERN,N/A,4 / 4,100.00,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Audit Committee,3.,NARONG DECHATHANARUJIKORN,N/A,4 / 4,100.00,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Audit Committee,4.,WOOTHISARN TANCHAI,N/A,1 / 1,100.00,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Audit Committee,5.,APIWATHANA POLSAYOM,07/09/2023,2 / 4,50.00,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Executive Committee,1.,TAKORN RATTANAKAMOLPORN,N/A,N/A,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Executive Committee,2.,CHAITHAD KULCHOKWANICH,N/A,N/A,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Executive Committee,3.,PONDKARN RATTANAKAMOLPORN,N/A,N/A,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Executive Committee,4.,MUTTANA WICHEANKEAWMANEE,N/A,N/A,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Executive Committee,5.,CHAIYUT EIADKAEW,N/A,N/A,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of  Nomination and Remuneration Committee,1.,WUTH MEECHOUAY,N/A,0 / 0,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of  Nomination and Remuneration Committee,2.,TAWEE MEE-NGERN,N/A,0 / 0,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of  Nomination and Remuneration Committee,3.,CHAITHAD KULCHOKWANICH,N/A,0 / 0,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Risk Managment Commitee,1.,PONDKARN RATTANAKAMOLPORN,N/A,0 / 0,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Corporate Social Responsibility Committee,1.,PONDKARN RATTANAKAMOLPORN,N/A,0 / 0,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,TAWEE MEE-NGERN,N/A,0 / 0,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,CHAITHAD KULCHOKWANICH,N/A,0 / 0,N/A,,
DITTO,2023,7,4,28/04/2023,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,PONDKARN RATTANAKAMOLPORN,N/A,0 / 0,N/A,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,WOOTHISARN TANCHAI,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,TAKORN RATTANAKAMOLPORN,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,CHAITHAD KULCHOKWANICH,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,PONDKARN RATTANAKAMOLPORN,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,CHAIYUT EIADKAEW,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,MUTTANA WICHEANKEAWMANEE,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,7.,NARONG DECHATHANARUJIKORN,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,8.,TAWEE MEE-NGERN,N/A,6 / 6,100.00,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,9.,WUTH MEECHOUAY,N/A,5 / 6,83.33,1 / 1,1 / 1
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of the Board of Directors,10.,PICHIT VIWATRUJIRAPONG,N/A,5 / 5,100.00,0 / 0,Did not hold the meeting
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Audit Committee,1.,WUTH MEECHOUAY,N/A,3 / 4,75.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Audit Committee,2.,NARONG DECHATHANARUJIKORN,N/A,4 / 4,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Audit Committee,3.,TAWEE MEE-NGERN,N/A,4 / 4,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Audit Committee,4.,WOOTHISARN TANCHAI,N/A,4 / 4,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Executive Committee,1.,TAKORN RATTANAKAMOLPORN,N/A,12 / 12,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Executive Committee,2.,CHAITHAD KULCHOKWANICH,N/A,11 / 12,91.67,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Executive Committee,3.,PONDKARN RATTANAKAMOLPORN,N/A,12 / 12,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Executive Committee,4.,MUTTANA WICHEANKEAWMANEE,N/A,12 / 12,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Executive Committee,5.,CHAIYUT EIADKAEW,N/A,12 / 12,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of  Nomination and Remuneration Committee,1.,WUTH MEECHOUAY,N/A,2 / 2,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of  Nomination and Remuneration Committee,2.,TAWEE MEE-NGERN,N/A,2 / 2,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of  Nomination and Remuneration Committee,3.,CHAITHAD KULCHOKWANICH,N/A,2 / 2,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,TAWEE MEE-NGERN,N/A,4 / 4,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,CHAITHAD KULCHOKWANICH,N/A,4 / 4,100.00,,
DITTO,2024,6,4,25/04/2024,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,NARONG DECHATHANARUJIKORN,N/A,4 / 4,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,WOOTHISARN TANCHAI,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,TAKORN RATTANAKAMOLPORN,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,CHAITHAD KULCHOKWANICH,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,PONDKARN RATTANAKAMOLPORN,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,CHAIYUT EIADKAEW,N/A,5 / 6,83.33,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,MUTTANA WICHEANKAEWMANEE,N/A,5 / 6,83.33,0 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,NARONG DECHATHANARUJIKORN,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,TAWEE MEE-NGERN,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,WUTH MEECHOUAY,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,PICHIT VIWATRUJIRAPONG,N/A,6 / 6,100.00,1 / 1,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,WUTH MEECHOUAY,N/A,4 / 4,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,NARONG DECHATHANARUJIKORN,N/A,4 / 4,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,TAWEE MEE-NGERN,N/A,4 / 4,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,4.,WOOTHISARN TANCHAI,N/A,4 / 4,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,TAKORN RATTANAKAMOLPORN,N/A,11 / 12,91.67,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,CHAITHAD KULCHOKWANICH,N/A,12 / 12,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,PONDKARN RATTANAKAMOLPORN,N/A,11 / 12,91.67,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,MUTTANA WICHEANKAEWMANEE,N/A,9 / 12,75.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,CHAIYUT EIADKAEW,N/A,12 / 12,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of  Nomination and Remuneration Committee,1.,WUTH MEECHOUAY,N/A,1 / 1,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of  Nomination and Remuneration Committee,2.,TAWEE MEE-NGERN,N/A,1 / 1,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of  Nomination and Remuneration Committee,3.,CHAITHAD KULCHOKWANICH,N/A,1 / 1,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,TAWEE MEE-NGERN,N/A,3 / 3,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,CHAITHAD KULCHOKWANICH,N/A,3 / 3,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,NARONG DECHATHANARUJIKORN,N/A,3 / 3,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,PONDKARN RATTANAKAMOLPORN,N/A,3 / 3,100.00,,
DITTO,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,CHAITHAD KULCHOKWANICH,N/A,1 / 3,33.33,,
