Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DMT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DMT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DMT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOMBATH PHANICHEWA,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,RAWAT CHAMCHALERM,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMNUK CHAIDEJSURIYA,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,TARNIN PHANICHEWA,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,PRAKOB TANTIYAPONG,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,VICHYA KREA-NGAM,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,DHANAVISUTH VISUTHI,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHUMPOL RIMSAKORN,N/A,8 / 8,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,SUEBSAN DARDARANANDA,N/A,6 / 7,85.71,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHANVIT AMATAMATUCHARTI,N/A,7 / 7,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,11.,Sakda Panwai,N/A,6 / 6,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,12.,VISIT VONGRUAMLARP,26/04/2022,2 / 2,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,13.,PANTIP SRIPIMOL,01/07/2022,4 / 4,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,14.,ANON LUANGBORIBOON,15/11/2022,6 / 8,75.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of the Board of Directors,15.,PORNTHEP PANYARACHUN,26/04/2022,2 / 2,100.00,Yes,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Audit Committee,1.,PRAKOB TANTIYAPONG,N/A,8 / 8,100.00,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMNUK CHAIDEJSURIYA,N/A,8 / 8,100.00,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Audit Committee,3.,CHUMPOL RIMSAKORN,N/A,5 / 5,100.00,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Audit Committee,4.,VISIT VONGRUAMLARP,26/04/2022,3 / 3,100.00,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,1.,RAWAT CHAMCHALERM,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,2.,TARNIN PHANICHEWA,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,3.,Kulvat  Janvatanavit,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,4.,DHANAVISUTH VISUTHI,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,5.,Sakda Panwai,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,6.,Anoma Urit,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,7.,Suthep Tharawas,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,8.,Bongkodrat  Tangchukul,N/A,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Executive Committee,9.,PORNTHEP PANYARACHUN,26/04/2022,N/A,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of  The Nomination and Compensation Committee,1.,SUEBSAN DARDARANANDA,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of  The Nomination and Compensation Committee,2.,SOMNUK CHAIDEJSURIYA,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of  The Nomination and Compensation Committee,3.,VICHYA KREA-NGAM,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Risk Management Committee,1.,SOMNUK CHAIDEJSURIYA,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Risk Management Committee,2.,Suthep Tharawas,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Risk Management Committee,3.,Anoma Urit,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Risk Management Committee,4.,Sakda Panwai,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Risk Management Committee,5.,Boonchana Threedidth U.Domphorn,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Risk Management Committee,6.,Bongkodrat  Tangchukul,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,1.,RAWAT CHAMCHALERM,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,2.,TARNIN PHANICHEWA,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,3.,Kulvat  Janvatanavit,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,4.,DHANAVISUTH VISUTHI,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,5.,Suthep Tharawas,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,6.,Anoma Urit,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,7.,Sakda Panwai,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Executive Committee,8.,Bongkodrat  Tangchukul,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Business Development Committee,1.,TARNIN PHANICHEWA,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Business Development Committee,2.,Bongkodrat  Tangchukul,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of The Business Development Committee,3.,Sakda Panwai,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Audit Committee,1.,PRAKOB TANTIYAPONG,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMNUK CHAIDEJSURIYA,N/A,0 / 0,N/A,,
DMT,2022,8,8,26/04/2022,No,Meeting Attendance of Audit Committee,3.,CHUMPOL RIMSAKORN,N/A,0 / 0,N/A,,
DMT,2023,5,7,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,SOMBATH PHANICHEWA,N/A,5 / 5,100.00,Yes,
